제목,질문,답변,https://kin.naver.com/search/list.nhn?query=어느+병원+-동물+-성형+-강아지+-피부과+-개인회생+-인테리어+-진로+-커리큘럼+-자동차+-도서+-보험+-교통+-차+-간호학과+-학과&sort=date&period=2016.04.02.|2016.04.06.&section=kin&page=1
다리모양ㅜ,제가 다리모양이 너무 이상해서요ㅜ 원랜 이정도까진아니었는데 어느순간부터 완전휘어보여요ㅜ 이게근육인거같은데 근육인지 뼈인지ㅜㅜ보기에 이상하죠ㅜㅜ,아뇨 매력적인데요
다리모양ㅜ,제가 다리모양이 너무 이상해서요ㅜ 원랜 이정도까진아니었는데 어느순간부터 완전휘어보여요ㅜ 이게근육인거같은데 근육인지 뼈인지ㅜㅜ보기에 이상하죠ㅜㅜ,오다리 같으신데요.다리 저렇게 휜사람 있긴있습니다.병원가서 진찰받고 교정기 껴보세요. 교정됨니다
"여자친구 생리불순,임신의심",안녕하세요 저는 미성년자입니다 여자친구도 있구요일단 너무 사랑한나머지 여자친구와 위험한날에 해버렸네요 그뒤로 저희 둘의 사정때문에 많이싸우고 여자친구가심리적 스트레스를 굉장히 많이 받은걸로 예상되는데...그뒤로 생리할날이 됐는데 1주일 조금넘게 소식이없네요여자친구가 입덧으로 예상되는 헛구역질을 밥먹다가느끼기도 했다는군요그뒤로 다시 붙어서 잘사귀고있는데 너무 불안하내요아직미성년자고 부모님한테 임신이라면 말은 해야할것같은데....일단 제가 너무나도 궁금한것은 첫째.스트레스때문에 생리가 늦어지는 거라면 만약 정상적인 생활로 돌아왔을때 다시 호르몬 분비가 안정화됄때까지대충 얼마나 걸리는걸까요?둘째.여성분들마다 다들 다르겠지만 입덧과 동반한 임신초기 증상은 어떠한것이 있나요??셋째.만약 생리불순이라면 무슨음식이 좋을까요?아니면 어느 병원을 가야 정확한진단을 받을수있을까요?(생리 늦는것 때문에 산부인과가기는 좀...)넷째.만약 임신도 아닌 자궁질환이라면...ㅎㄷㄷ 무슨 질환이 있는지 알고싶습니다.죽어도 낙태는 싫습니다이 몸하나가 부서지도록 어떻게든 해보려구요부모님게 맞아서 피가터지는 한있어도 말은해봐야지요제가 싸질럿으니...책임져야죠,"안녕하세요. 하이닥-네이버 지식iN 산부인과 상담의 박정원 입니다. 배란이 될 때 정자를 만나면 임신이 됩니다.이때 임신이 되지 않으면 배란이 되고서 약 2주 후에는 월경을 하게 됩니다.이렇게 월경시계는 계속 돌게 되어있습니다.그런데, 난자가 자랄 때 너무 피곤해서 호르몬을 잘 만들지 못 한다든지,다이어트를 너무 심하게 해서 혹은 급격한 체중증가 등으로 호르몬균형이 깨진다든지,스트레스가 많아서월경시계가 돌아가는 것을 방해한다든지, 위장약이나 수면부족 등도배란을 방해하는 원인이 될 수 있습니다.  산부인과 내원시 필요한 검사로는 ▶1. 초음파검사 (직장 또는 복부초음파)2. 호르몬검사이지만,검사 없이 바로 호르몬주사 등으로 치료를 하고 경과를 보는 경우도 있습니다. 임신진단은 수정이 된 성관계후의 10일 후는 혈액검사, 14일 후는 소변검사,17일 후는 초음파 검사를 통해 확인해 보실 수 있습니다.이후 생리가 없거나 임신증상이 생기신다면 임신테스트를 권고드려요.임신테스트기상에 임신이 아닌데에도 계속하여 생리가 없으신 경우 또한병원 진찰이 필요하신 부분입니다.답변이 도움이 되셨기를 바랍니다.감사합니다."
"여자친구 생리불순,임신의심",안녕하세요 저는 미성년자입니다 여자친구도 있구요일단 너무 사랑한나머지 여자친구와 위험한날에 해버렸네요 그뒤로 저희 둘의 사정때문에 많이싸우고 여자친구가심리적 스트레스를 굉장히 많이 받은걸로 예상되는데...그뒤로 생리할날이 됐는데 1주일 조금넘게 소식이없네요여자친구가 입덧으로 예상되는 헛구역질을 밥먹다가느끼기도 했다는군요그뒤로 다시 붙어서 잘사귀고있는데 너무 불안하내요아직미성년자고 부모님한테 임신이라면 말은 해야할것같은데....일단 제가 너무나도 궁금한것은 첫째.스트레스때문에 생리가 늦어지는 거라면 만약 정상적인 생활로 돌아왔을때 다시 호르몬 분비가 안정화됄때까지대충 얼마나 걸리는걸까요?둘째.여성분들마다 다들 다르겠지만 입덧과 동반한 임신초기 증상은 어떠한것이 있나요??셋째.만약 생리불순이라면 무슨음식이 좋을까요?아니면 어느 병원을 가야 정확한진단을 받을수있을까요?(생리 늦는것 때문에 산부인과가기는 좀...)넷째.만약 임신도 아닌 자궁질환이라면...ㅎㄷㄷ 무슨 질환이 있는지 알고싶습니다.죽어도 낙태는 싫습니다이 몸하나가 부서지도록 어떻게든 해보려구요부모님게 맞아서 피가터지는 한있어도 말은해봐야지요제가 싸질럿으니...책임져야죠,1. 그건 사람마다 달라서 뭐 스트레스안받으면 생리할거임2.질분비물이많아짐 가슴도 찌릿하고3.산부인과를 가야 알수있음;4.그것도 산부인과를 가야알수있음임테기해봐라 마지막관계후2주뒤그게제일정확해
"여자친구 생리불순,임신의심",안녕하세요 저는 미성년자입니다 여자친구도 있구요일단 너무 사랑한나머지 여자친구와 위험한날에 해버렸네요 그뒤로 저희 둘의 사정때문에 많이싸우고 여자친구가심리적 스트레스를 굉장히 많이 받은걸로 예상되는데...그뒤로 생리할날이 됐는데 1주일 조금넘게 소식이없네요여자친구가 입덧으로 예상되는 헛구역질을 밥먹다가느끼기도 했다는군요그뒤로 다시 붙어서 잘사귀고있는데 너무 불안하내요아직미성년자고 부모님한테 임신이라면 말은 해야할것같은데....일단 제가 너무나도 궁금한것은 첫째.스트레스때문에 생리가 늦어지는 거라면 만약 정상적인 생활로 돌아왔을때 다시 호르몬 분비가 안정화됄때까지대충 얼마나 걸리는걸까요?둘째.여성분들마다 다들 다르겠지만 입덧과 동반한 임신초기 증상은 어떠한것이 있나요??셋째.만약 생리불순이라면 무슨음식이 좋을까요?아니면 어느 병원을 가야 정확한진단을 받을수있을까요?(생리 늦는것 때문에 산부인과가기는 좀...)넷째.만약 임신도 아닌 자궁질환이라면...ㅎㄷㄷ 무슨 질환이 있는지 알고싶습니다.죽어도 낙태는 싫습니다이 몸하나가 부서지도록 어떻게든 해보려구요부모님게 맞아서 피가터지는 한있어도 말은해봐야지요제가 싸질럿으니...책임져야죠,"생리불순이 오래 되면 당연히 병원 가셔야하고요. 아마 초음파 할 겁니다. 생리를 안한다니까 일단임테기부터 해보세요. 관계 14일뒤 하시면 됩니다. 약국,다이소,홈플러스에서도 팝니다. 다이소는 2000원이고 상대적으로 저렴해요.생리불순에는 어성초가 좋다고합니다.그런데 이건 둘째치고 일단 임신 여부가 먼저겠죠?임신 초기증상과 생리전증후군은 매우 비슷한데요다른점이 있다면 임신을 하게 되면관계 4주뒤 지속적인 미열이 있게 됩니다. 호르몬 때문이죠 먼저 임테기부터 해보세요."
키가 얼마까지 크나요?,이제 중3입니다.키는 171이고 몸무게는 55입니다.살없이 근육이 많아요.176에 몸무게 65정도되는 애랑힘이 비슷해요운동을 좋아하는데 배에 힘안줘도 복근 선이 보이고 딴딴하지는 않아요자전거를 타는데 키크는데 도움이되나요?또 부모님 키는 160 165입니다.,"안녕하세요. 하이닥-네이버 지식iN 소아청소년과 상담의 고시환 입니다. 자전거를 타는 학생인가 봅니다.키성장에 대해 질문 주셨어요.키는 부모님의 유전적 조건하에본인의 건강과 영양, 식습관, 운동, 생활패턴 등에 의해 영향을 받게 되며,앞으로 얼마를 언제까지 성장 가능한가는진료 이전에는 답이 어려운 질문이군요. 키 성장에 도움을 줄 것들로는1. 매일 매일 꾸준한 규칙적 운동2. 운동은 모든 운동이 다 도움이 되나 그 중에서도    걷기, 뛰기, 줄넘기, 농구, 배구, 축구, 등산, 배드민턴 등등    다리를 중심으로 하는 운동3. 가능한 12시전취침과 7시전의 기상4. 자기 전 20-30분간의 스트레칭5. 밀가루로 된 빵, 과자, 국수, 라면, 햄버거, 피자 등을 피하고6. 인스턴트, 패스트푸드를 멀리하고7. 단 음식과 음료를 마시지 말고8. 물을 충분히 섭취9. 신선한 야채류를 충분히 섭취하는 것이 있겠습니다. 감사합니다."
키가 얼마까지 크나요?,이제 중3입니다.키는 171이고 몸무게는 55입니다.살없이 근육이 많아요.176에 몸무게 65정도되는 애랑힘이 비슷해요운동을 좋아하는데 배에 힘안줘도 복근 선이 보이고 딴딴하지는 않아요자전거를 타는데 키크는데 도움이되나요?또 부모님 키는 160 165입니다.,"앞으로 키는 확실하겐 예상할수가 없어요. 보통 이야길 할때 (엄마+아빠+13) / 2 이야길 하긴 하는데 이것도 진짜 예상이고 보통 키가 유전적인것과 환경적인것 다 영향이 있다고 하거든요 사람마다 성장속도가 다 다르기때문에 성장 나이도 다 다릅니다.키 크는게 천천히 돼다가 갑자기 크는경우도 있어서 키크는 생활습관 더 기르면서 생활하면 더 클수 있을것 같아요. 음식을 먹을때  편식 하는건 너무 안좋은 습관이예요. 진짜 골고루 잘먹는게 중요하거든요, 우유도 많이 드시고 당근,시금치, 멸치 같은거 좋으니깐 마니 드시구요. 운동 자주하면서 스트레칭 꼭 하세요. 농구, 줄넘기, 달리기, 뜀뛰기, 배드민턴등  30분 이상하는게 좋습니다. 스트레칭이 성장판을 자극해줘서 키크는데 좋거든요. 키크는 스트레칭 제대로 해야 효과가 더 좋은데 요즘 톨플러스 많이 하니깐 한번 알아보시는것도 좋겠네요. 하고 키크는 사람들 많이 있더라구요."
키가 얼마까지 크나요?,이제 중3입니다.키는 171이고 몸무게는 55입니다.살없이 근육이 많아요.176에 몸무게 65정도되는 애랑힘이 비슷해요운동을 좋아하는데 배에 힘안줘도 복근 선이 보이고 딴딴하지는 않아요자전거를 타는데 키크는데 도움이되나요?또 부모님 키는 160 165입니다.,우와 좋겠다...체질이 아니라면 님의 습관?생활 방식같은게키가 크게되는 게 아닐까 싶은데요와..진짜 부러워요 자전거 보다는 줄넘기같은게 더 도움되지 않나요?나도 힘 안줬는데 복근선 보이고싶다ㅜㅜ
키가 얼마까지 크나요?,이제 중3입니다.키는 171이고 몸무게는 55입니다.살없이 근육이 많아요.176에 몸무게 65정도되는 애랑힘이 비슷해요운동을 좋아하는데 배에 힘안줘도 복근 선이 보이고 딴딴하지는 않아요자전거를 타는데 키크는데 도움이되나요?또 부모님 키는 160 165입니다.,키는 1년에 5cm정도씩 큰다고합니다그러다가 어느해 한번에 10cm이상확 클때가있어요그럼 더이상 크지 않습니다.걱정되면 병원가서 성장판검사 하면알수있습니다손바닥 엑스레이찍으면 성장판이 닫혔는지알수있습니다
키가 얼마까지 크나요?,이제 중3입니다.키는 171이고 몸무게는 55입니다.살없이 근육이 많아요.176에 몸무게 65정도되는 애랑힘이 비슷해요운동을 좋아하는데 배에 힘안줘도 복근 선이 보이고 딴딴하지는 않아요자전거를 타는데 키크는데 도움이되나요?또 부모님 키는 160 165입니다.,명확한 방법은 성장판 검사를 하는 방법입니다. 물론 이럴 경우 비용이 들어갑니다. 또한 성장병원에서 약을 구매해야하는 이야기도 듣게 됩니다. 하지만 먼저 자신의 생활 패턴을 먼저 확인해 보는 것을 추천합니다. 키성장에 필요한 생활 패턴인지 아닌지 그것이 원인이 될 수 있기 때문입니다.       답변이 도움되셨다면 채택부탁드려요
코재수술잘하는병원 어디로 가는게 좋을까요?,재수술 때문에 고민중입니다... 처음한곳은 이제 믿음이 안가서 .. 어느쪽 위주로 코재수술잘하는병원 알아보는게 좋을까요? 저는 강남쪽은 가깝긴한데 여기도 한두군데가 아니라서요.. 그리고 이번에는 문제 없이 하고 싶어요.,"음 코재수술잘하는병원 알아보시는거면 신중하게 선택 하셔야 할것 같아요. 처음보다 어려운것도 그렇고 재수술은 진짜 많이 해본 잘하는곳 알아보셔야 하거든요.,세현에서 친구가 했는데 들어 보니까 재수술 워낙 많이 하는곳이기도 하고 수술방법이나 상담 받을때 얼굴이랑 어울리면서 이쁘게 만들어 주는게 맘에 들었다고 하더라구요. 친구 지금은 완전 자리 잡았는데 진짜 자연스럽기는 해요.  많이 보더라구요. 저는 코재수술 한건 아니긴 한데 얼굴이랑 어색하지 않게 잘하고 부작용도 거의 없다고 해서 상담 받아봣는데 결과적으로 얘기해주시는 방법이나 제시해주는 스타일이 맘에 들고 후기사진이나 카페에서 본 사진들이 맘에들어서 결정했었거든요. 친구 지금 디게 자연스럽게 잘지내고 잇어요.그리고 특히 코재수술이면 더 신중하게 알아보시는게 중요한거 같아요. 친구도 거의 한달동안 엄청 알아본거거든요.. 방법이나 스타일 문제 생기는건 없는지 꼼꼼히 알아보시고 진행하시면 좋을거 같아요."
