제목,질문,답변,https://kin.naver.com/search/list.nhn?query=어느+병원+-동물+-성형+-강아지+-피부과+-개인회생+-인테리어+-진로+-커리큘럼+-자동차+-도서+-보험+-교통+-차+-간호학과+-학과&sort=date&period=2018.03.27.|2018.04.01.&section=kin&page=1
진짜 제발 정말로 일본애니영화 이름좀 알려주세요,"일본 에니메이션 영화 이름좀 알려주세요제가 예전에 어떤 일본영화를 봤는데어떤 고등학생 남자가 학교를 다니는데그애의 집에는 고양이가 말을하고자기 후배는 남자고 (기억이 잘 안남)학교에는 미스터리 동아리가 있고그동아리에 있는 여자들중에 한명은 미래에서 왔고,한명은 휴머노이드고, 또 한명은 인간인데 화가나면 시공간이 일그러지는 능력을 가지고 있었는데어느날 갑자기 고양이가 말을하지 않고 여자애들도 정상적으로 변해버려서 절망했는데컴퓨터에 휴머노이드였던 여자애가 컴퓨터에 남겨놓은메시지를 발견하고 시공간능력을 가진 여자애를 찾아가설명을 하는데 믿지 않아서 자기가 (뭐였지)영어이름을 대니까 놀라서 믿어주고 그 둘이서원래대로 돌아가기위해 여치저차해서 마지막에는 컴퓨터가 리셋할거냐고 하니까네라고 해서 원래대로 돌아오니까 병원에서 깨고 이야기를 하면서 끝나는 영화였어여진짜 제발 알려주세요이 영화가 정말 필요합니다이름도 모르고 하다보니까 찾지를 못했어요 부탁드립니다 제발...",".스즈미야 하루히의 소실 (The Disappearance Of Haruhi Suzumiya, 2010)네티즌9.04(1,151)기자·평론가6.50(2)평점주기개요애니메이션, 코미디2010.11.11 개봉163분일본12세 관람가감독이시하라 타츠야, 타케모토 야스히로출연스기타 토모카즈, 치하라 미노리, 히라노 아야, 고토 ...출연자더보기내용고교 1학년 겨울, 스즈미야 하루히가 이끄는 SOS단원들은 전과 다...",https://kin.naver.com/qna/detail.naver?d1id=3&dirId=30308&docId=298382722&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=61&search_sort=3&spq=0
심장이 너무 빨리 뛰어요 자다가 갑자기 심장이 너무 빨리 뛰어서 잠을 깰 정도에요 그러면서 머리가 어지럽고,심장이 너무 빨리 뛰어요자다가 갑자기 심장이 너무 빨리 뛰어서 잠을 깰 정도에요그러면서 머리가 어지럽고 토할것 같아요쉽게 진정이 되지않고 오분이상 걸려서 진정되는동안 너무 두려울 정도입니다. 일주일에 1-2번 그랬다면 지금은 빈도도 더 늘어난 것 같은데..그렇다고 해서 당일이나 그 전날 특별한 활동을 한것도 없구요. 제가 목디스크 걸리면서 급성 신경통이 온 이후로 그런것 같은데....병원은 내과랑 심혈관과에 가라고 다들 말씀해주시는데..정확하게 어느 과를 가는게 좋을까요?부정맥과 비슷한 증상인가요? 항상 자는동안에만 이런일이 발생해서 너무 두렵습니다.,부정맥또는 심질환의심됩니다 큰병원 심장내과 캐어가좋을듯 싶네요 검진후 진단도움줄거네요 빠른 치료되기바랍니다.,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=7010103&docId=298381770&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=62&search_sort=3&spq=0
뒷목 통증 증상추정과 어느병원을 가야할지 알려주세요,저가 가만히 있으면 안아픈데 오른쪽 뒷목에 뭐가 있는것처럼 목을 오른쪽밑으로 구부리면 약간 통증이 오거든요 그리고 더 이상한게 평소에는 저렇지만 학교에서 수업들을때 가끔 오른쪽 뒷목에 통증이와서 신경쓰일 정도로 아파요 그 부분을 잡고있으면 조금 괜찮긴한데 아픈 부분을 손으로 문지러보면 뭐가 뚝 하면서 고통이 한번에 오고 그래요;; 아픈위치가 귀보다 약간 밑에 있는 뒷목인데 왜이런거죠 이거 거의 1년동안 달고 살았었는데 어느 병원을 가야할지 몰라서 그냥 뒀었거든요 병상도 뭔지 모르겠고 확실하지가 않잖아요 이 통증 증상이랑 어느병원을 가야할지 알려주세요..,자고나면 괜찮아 집니다,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70107&docId=298375419&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=71&search_sort=3&spq=0
아토피? 건선? 어느증상인가요 이번 겨울에 전기매트를 자주 사용해서 건조해서 생긴 증상인건지... 가렵기도,아토피? 건선? 어느증상인가요 이번 겨울에 전기매트를 자주 사용해서 건조해서 생긴 증상인건지... 가렵기도 너무 가렵고 긁다보니 상처가 생기고 빨갛게 되는부분에서 진물 같은게 묻어나옵니다 아주 어렸을때 아토피을 앓긴 했는데 병원을 다니며 치료를 한 뒤로 이렇지 않았는데 겨울부터 이러기 시작했습니다 상처난 부위에 후시딘 같은 연고를 발라도 될까요,"안녕하세요.네이버 지식인으로 피부질환을 상담하고 치료하는 한의학박사 나헌식 원장입니다.글 내용을 읽어보고 사진을 확인해보니,피부에 발생한 증상은 아토피증상으로 진단됩니다.아토피는 피부의 독립적인 기능중에 체온조절 기능이 떨어져 발생하는 증상이며,체질개선의 방법으로 치료될 수 있는 증상이니 치료에 자신감을 갖으시길 바라겠습니다.아토피에 대한 자료를 올려드리니 참고하시길 바라겠습니다.아토피는 우리가 섭취하는 음식물로 인하여 증상이 발생하는 것이 아니어서,어떤 음식이든지 가리지 않고 섭취하여도 괜찮으며,생활습관이 잘못되어서 아토피가 발생하는 것은 아니니,생활하는데 주의할 사항은 탁히 없습니다.아토피의 원인을,열이 많고 독이 있어서...면역기능이 약해져서...기혈순환이 안되어...내적인 건강에 문제가 있어서..등등으로 원인을 진단하는 곳이 많은데,저는 그렇게 원인을 진단하지 않고,피부의 여러가지 기능중에 체온조절 기능이 떨어져 나타나는 증상으로 진단합니다.아토피는,피부의 여러가지 기능중에 체온조절 기능이 떨어져 발생하는 증상입니다.아토피는  피부의 여러가지 기능중에 체온조절, 열 배출과 연관이 있으며,내적인 건강과는무관한 증상입니다.피부의 독립적인 여러가지 기능중에 체온조절 기능이 떨어지면,몸에서 유발되는 열이 피부의 땀구멍을 통하여 빠져나가지 못하기 때문에,피부 내측에 열이 누적됩니다.열이 누적되면,누적되어 있는 해당 부위의 피부 표면에 붉은 증상이 보입니다.피부 내측에 누적된 열이 피부에 있는 가는 모세혈관을 확장하여,피부 표면에서는 빨갛게 발진이 보이며,열은 발산작용이 있어 땀구멍을 뚫고 빠져 나갈려고 피부를 자극할 때 따갑거나 가려운 증상을 느끼는 것입니다.인체의 생리적인 기능은,열이 발생하여 누적되어 있으면 그 열을 식히기 위하여 물이 모입니다.물이 열과 합쳐지면 탁한 물이 형성되고,그 탁한 물을 우리는 보통 진물이라고 표현하는데,좁쌀처럼 수포가 발생하기도 하고,피부 내측에 진물이 피부의 땀구멍을 뚫고 나와서 건조되어 각질이 보이기도 하며,증상 부위엔 열이 누적되어 머물러 있기 때문에 해당 부위의 피부 표면은 당연히 건조한 증상이 나타나는것입니다.다시 설명드리면,1), 피부의 정상적인 기능이 떨어져 빨갛게 발진(내적인 열이 많다는 표시로...)이 보이거나,2), 증상 부위가 건조(증상 부위의 내측에 열이 많으면 그 위의 부위는 당연히 건조하게 됩니다)하고,3), 누적된 열은 발산작용이 있어 피부의 땀구멍을 뚫고 나올려고 (피부의 정상적인 기능에서는 피부 내측의 열이 땀구멍을 통하여 수분이나 땀의 형태로 빠져나와 체온 조절을 해 주는 기능이 있기 때문에...) 자극을할 때에 따갑거나 가려운 증상을 느끼게 되며,4), 증상이 심해지면 피부 내측에 고여있는 진물이 포화 상태가 되면 피부를 뚫고나와 진물 형태를 보이거나 건조되어 각질을 형성하게 됩니다.아토피의 증상 형태를 보면 빨갛게 발진이 보이고 가려우며 건조하고 부스러기 같은 각질이 발생하는 것을 알 수 있는데,위와같은 원리로 그런 증상이 나타난다고 생각할 수 있습니다.증상이 있는 부위는 피부내측에 열이 배출되지 못하고 머물러 있음으로써 증상부위에서 열감을 느끼는 것입니다.피부 증상이 나타나면 열이 많다고 하여,열을 내리는 방법으로 치료하는 곳이 있긴 하지만,저는 열이 많아서 발생하는 증상이 아니고,열이 배출되지 못하여 발생한 증상으로 원인을 진단하기 때문에,열이 원활하게 배출될 수 있도록 치료해야만 한다고 생각합니다.아무리 열이 많아도 피부가 정상적인 기능을 해 준다면,그 열은 땀구멍을 뚫고 잘 빠져 나가기 때문에,피부 트러블을 유발하지 않지만,피부가 정상적인 기능을 하지 못한다면 배출되지 못함으로써 약간의 열에도 피부 증상을 나타내니까요.아토피 치료는 피부기능이 개선되어 정상적인 기능을 할 수 있도록 치료하는 것이 중요한데,체질개선 방법으로 치료될 수 있으니,피부과에서 치료를 했는데도 낫지 않으면 치료방법을 바꿔보시길 바라겠습니다. 체질개선으로 몸의 기능을 활성화시키면 몸의 일부위인 피부기능은 정상적인 기능을 회복하게 되고,정상적인 기능이 회복되면 아토피 증상은 자연스럽게 치료가 된다는 말씀을 드립니다.그리고 아토피는,우리가 섭취하는 음식물이나 환경적인 영향에 의해 발생하는 증상은 아니니,어떤 음식이든지 섭취하시고 일상생활에서 주의할 점은 없습니다.아토피는 한방적인 체질개선 방법으로 치료가 가능한 증상으로 설명드리니,치료에 자신감을 갖기를 바라겠습니다.아토피를 한의원에서 치료하고자 할 때에는,체질개선 방법이라도 한의원마다 치료방법이 다르고,한의원마다 치료비용도 많은 차이가 있으니,잘 검토하고 신중하게 선택하시길 바라겠습니다.",https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70307&docId=298373346&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=72&search_sort=3&spq=0
아토피? 건선? 어느증상인가요 이번 겨울에 전기매트를 자주 사용해서 건조해서 생긴 증상인건지... 가렵기도,아토피? 건선? 어느증상인가요 이번 겨울에 전기매트를 자주 사용해서 건조해서 생긴 증상인건지... 가렵기도 너무 가렵고 긁다보니 상처가 생기고 빨갛게 되는부분에서 진물 같은게 묻어나옵니다 아주 어렸을때 아토피을 앓긴 했는데 병원을 다니며 치료를 한 뒤로 이렇지 않았는데 겨울부터 이러기 시작했습니다 상처난 부위에 후시딘 같은 연고를 발라도 될까요,"그 악성의 아토피 증상입니다지금은 첨단 과학 세상이기에 손목의 홍조 증상이나 가려움증 및 각질 증상 들 모두 없어집니다지금은 걱정없습니다. 빠르게 치료되는 시대이기 때문입니다아토피의 효과적인 치료법은 장관내 정상세균총을 회복하는 것입니다.그리고 정상세균총을 회복하는 방법으로 제대로 만든 것으로 과학기술로 제조된 유산균의 섭취가 주목받고 있습니다.장내 미생물로서 발육력과 증식력으로서 장관에서 생동하는 유산균의 섭취가 지루성피부염 치료 뿐만아니라 알레르기, 비염, 아토피, 여드름, 가려움증, 기미, 주근깨, 장염, 설사, 변비, 복통, 천식 등을 예방하고 치료하는데 우리 몸에 없어서는 안될 중요한 유산균이지요.우리 주변에는 효과도 미미하게 만든 유산균도 너무 많은 제품이 있으니 꼼꼼히 따져 보시고 신중하게 결정하시기 바랍니다, 유산균 균주중에서도 얼마나 건강한지 완벽한 코팅으로 장내 까지 얼마나 살아갈수 있는 지와  어떤  물질과 성분인지 가  중요 합니다, 그 중요한 유산균의 탁월한 효과는 아래 네모칸  네임카드의 사용후기를 보시면 됩니다     좀 더 여유를 가지시고  규칙적인 걷는 운동과 함께 장내 좋은 유익균으로 면역력을 조절시키시기 바랍니다. 첨단 과학기술로서 제대로 정교하게 제조된 유산균은 항진균성과 항염성. 세포재생력.면역세포 조절능력을 가지고 있기에 탁월한 효과를 보여주고 있습니다.출처: Arch Pharm Res Vol 34, No 12, 2117-2123, 2011, DOI 10.1007/s12272-011-1215-8, 2117          (우리 인체의 면역체계와 소화기계 구조를 대처해서 제조된 첨단과학의 유산균 섭취로서 각종 염증성 피부염들도 빠르게 치료되는 모습)현명하고 지혜로운 사람은 기회가  왔을 때  그 기회를 결코 놓치지  않기에  치유의 기쁨을 누리고 계십니다과학은 누구에게나  공평하기에  반드시 질의님의 그 아토피는 치료됩니다게다가 질병저항력을 덤으로 주기 때문에 감기나 피부에 뾰루지도 생기지  않게됩니다이해와 도움이 되셨으면 채택해  주시면  감사하겠습니다^^가려움증과 염증으로 괴롭히고 만성적으로 괴롭히는 아토피성  피부염도 알러지도  비염도 지루성피부염도 무조건 치료되는 상세한 정보는 아래 네모칸 네임카드 내 사이트를 참고 하세요"
아토피? 건선? 어느증상인가요 이번 겨울에 전기매트를 자주 사용해서 건조해서 생긴 증상인건지... 가렵기도,아토피? 건선? 어느증상인가요 이번 겨울에 전기매트를 자주 사용해서 건조해서 생긴 증상인건지... 가렵기도 너무 가렵고 긁다보니 상처가 생기고 빨갛게 되는부분에서 진물 같은게 묻어나옵니다 아주 어렸을때 아토피을 앓긴 했는데 병원을 다니며 치료를 한 뒤로 이렇지 않았는데 겨울부터 이러기 시작했습니다 상처난 부위에 후시딘 같은 연고를 발라도 될까요,"아토피가 건조해 지면서 가려움증을 유발하고 그로인해서 긁은부분이 색소침착이 되고 있는거 같습니다. 보습을 잘해 주셔야 할거 같아요......고생이 많으시네요.. 남의 일 같지 않아서 답변합니다.제 남편이 아토피때문에 군생활은 물론, 학창시절도 많이 힘들었다고 합니다.질문자님 말씀처럼 시선도 신경쓰이고 정말 괴로운데 아토피 없는 사람들은 모른다는거죠..연고도 발라보고 병원에도 가고 목욕법, 음식등등 노력을 많이 해봤는데도 별 도움이 안되더래요.결혼해서도 잠도 못자고, 다음날 출근해야되서 어렵게 잠들어도 새벽에 깨고..저도 아토피가 없기때문에 그렇게 힘든건지는 몰랐어요. 뭐라도 해주고싶어서 아토피에대해 많이알아봤는데요. TV에서 의사들이 약모밀이 아토피에 좋다고 하는걸 보고 많은 도움을 받았어요.인터넷에서 다른 사람들의 후기도 보고, 여기저기 사이트를 찾다가 도화농산이라는곳을 알게 되었는데직접재배도하고 재배한 약모밀만을 사용해서 약모밀진액을 만든다길래 구입해서 먹은지2주째부터 호전이 되길래 너무 심해서 2달을 꾸준히 먹었는데요.남편도 다른 남자들처럼 원래는 혼자서는 음식같은거 잘 안챙겨먹는데약모밀은 차에 가지고 다니면서 회사에서도 열심히 챙겨먹더라구요.제 남편 여름에도 긴팔을 입고 다닐정도였는데 지금은 너무 만족해하면서 반팔 열심히 입고 다니네요.약모밀은 피부 재생 효과가 좋아서 재생초라고 불릴 정도로 좋기때문에 많은 도움이 되실겁니다."
아토피? 건선? 어느증상인가요 이번 겨울에 전기매트를 자주 사용해서 건조해서 생긴 증상인건지... 가렵기도,아토피? 건선? 어느증상인가요 이번 겨울에 전기매트를 자주 사용해서 건조해서 생긴 증상인건지... 가렵기도 너무 가렵고 긁다보니 상처가 생기고 빨갛게 되는부분에서 진물 같은게 묻어나옵니다 아주 어렸을때 아토피을 앓긴 했는데 병원을 다니며 치료를 한 뒤로 이렇지 않았는데 겨울부터 이러기 시작했습니다 상처난 부위에 후시딘 같은 연고를 발라도 될까요,"아래에 건선 증상을 참고하세요<건선 증상>좁쌀 크기로 시작하는 돌출된 발진, 발진의 붉은 색조, 발진 위에 덮인 하얀 피부 각질, 심하지 않은 가려움증건선은 대표적인 자가면역질환으로 현재까지 치료약이 없습니다.일단 류마티스 내과에서 검사를 받아보시기 바랍니다.건선 원인 및 체질 개선을 위해 평소 올바른 식습관을 개선하시기 바랍니다.[건선에 좋은 음식]핵산이 풍부한 음식* 건선은 올바른 식습관 개선 및 핵산 섭취를 통해 회복할 수 있습니다."
아토피? 건선? 어느증상인가요 이번 겨울에 전기매트를 자주 사용해서 건조해서 생긴 증상인건지... 가렵기도,아토피? 건선? 어느증상인가요 이번 겨울에 전기매트를 자주 사용해서 건조해서 생긴 증상인건지... 가렵기도 너무 가렵고 긁다보니 상처가 생기고 빨갛게 되는부분에서 진물 같은게 묻어나옵니다 아주 어렸을때 아토피을 앓긴 했는데 병원을 다니며 치료를 한 뒤로 이렇지 않았는데 겨울부터 이러기 시작했습니다 상처난 부위에 후시딘 같은 연고를 발라도 될까요,사진상 건선 같지는 않습니다.가까운 피부과나 피부한의원에서 진찰받아 보세요.상처난 곳에 항생제 연고를 도포해서 2차 감염을 막는 것은 좋습니다.
어깨 길이 및 높낮이 다름 등 뒤에서 사진찍은건데 몸이 어느쪽으로 기울어졋죠?? 날개뼈는 어디쪽이 잘못된거죠,어깨 길이 및 높낮이 다름등 뒤에서 사진찍은건데 몸이 어느쪽으로 기울어졋죠??날개뼈는 어디쪽이 잘못된거죠??병원에서 X ray 찍으니까 척추가 약간 왼쪽으로 휘엇다고들은기억이있는데..내공 100검,왼쪽어깨가 많이 내려와 보이네요...!,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70106&docId=298372508&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=73&search_sort=3&spq=0
골격근량 체지방량 검사하는 건 어느 과 병원으로 가면 되나요?,옛날부터 궁금했던 건데몸에 있는 근육량과 지방량을 알고 싶으면어느 병원에 가서 어떤 검사를 받으면 되나요?,인바디 검사는 보건소에 가면 공짜로 해줍니다.,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=701&docId=298371938&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=74&search_sort=3&spq=0
