제목,질문,답변,https://kin.naver.com/search/list.nhn?query=어느+병원+-동물+-성형+-강아지+-피부과+-개인회생+-인테리어+-진로+-커리큘럼+-자동차+-도서+-보험+-교통+-차+-간호학과+-학과&sort=date&period=2018.05.17.|2018.05.21.&section=kin&page=1
"안녕하세요 왼쪽발수술할때 하반신 마취하고 수술했는데 수술 한 왼쪽발은 괜찮은데 하지않은 오른발이 장단지가 감각이 제대로 돌아오지않았고 발목은 힘이 안가요.의사선생님말로는데 몇달 지나면 돌아온다는데 왜 이런 문제가 발생하는지 완치는 되는지 알고싶어요.글구 이건 의료사고인지도 알려주세요,감사합니다.","... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...","발목에 힘이 안가면 신경을 잘못 건드린거 같네요. 원래 하반신 수술할때 혹시나 잘못된 자세로 수술을 했을 경우에 sciatic nerve라는 하반신 뒤쪽에 있는 신경이나 그 신경의 가지들이 눌려서 한동안은 신경이 약해졌을 수도 있어요. 그런 경우면 의사선생님 말대로 몇달 지나면 나아질거에요.신경이 원래 다치면 하루에 1 밀리미터씩 재생 합니다. 그렇게 생각해보면 몇달이 거리겠네요.그리고 처음에 다친 이유에 따라서 재생 정도 달라 집니다.신경세포는 세개의 막들로 나눠요. 만약에 가장자리의 막이 다쳤으면, 병원이 의료사고를 내거고요. 중간 막이 다쳤으면 증상이 완벽히 나아지지 않을 수도 있어요. 그리고 가장 안쪽의 막이 다쳤으면 괜찮을수도 있어요. 하지만 어느 막이 다친것은 시간을 통해서 밖에 몰라요. 만약에 몇달 후에도 증상이 있으면 다른 병원에 가서 수술경력을 말해주고 진단을 받으세요."
안구건조증 치료기간,하루에 보통 9~10시간 정도 휴대폰을 잡고 있었더니 병원에서 눈이 많이 건조하다길래 안약 처방 받고하루종일 눈에 이물감과 뻑뻑함이 드니 안되겠다 싶어 휴대폰 사용을 2~5시간 사이로 줄였습니다 ㅠㅠ 몇 년동안 지속된 중독이다보니 더 이상은 줄이기가 너무 힘들어 더 하고싶어지는 걸 방지하기 위해 아예 오전이나 오후에 따로 낮잠을 자는데요 ..의사선생님이 처방해 주신 안약을 넣긴 하는데 깜빡하고 못 넣거나 여러가지로 듬성듬성 하루에 4번인데 2~3번 널는 경우도 있습니다.지금 4~5주 정도 안구건조증이 지속되었는데요여전히 하루종일 이물감으로 인한 고통의 연속이라휴대폰 사용 시간을 절반이상으로 줄였음에도 호전이 되지 않고 있습니다..이 질병이 완치같은게 따로 없어 꾸준히 관리해주어야 한다는 건 알고있습니다.현재 하루마다 따뜻한 물수건으로 눈찜질을 하고 있고 결명자를 우려내 매일 마시고 있습니다 수면은 평균 10시간 이상으로 취침가능한 환경이며 스트레스 요인이 거의 없습니다. 본인은 거의 실내에서 생활하며 집 밖으로 외출을 잘 하지 않습니다. 안약 투여를 성실히하고 휴대폰 사용 시간을 좀 더 줄이도록 노력한다고 치면 몇 개월 정도 흐르면 눈이 편해지나요?또한 안구건조증에 좋은 영양제같은 것도 추천 부탁드립니다 ㅠㅠ 진짜 하루하루가 죽을 것 같네요..심한 안구건조증을 겪어 보신 분이라던지 완화하신 분들의 답변도 궁금합니다.. 살려주ㅜ세요,안구건조증은 근본원인을 자연치유로 건강하게 완치시켜 주어야 하는건조성질환입니다. 안구건조증은 안구를 보호해주는 지방층(보호막)눈물이 부족하거나 없으면수성층눈물이 빠르게 증발되어서 건조증이 발생하게 되는 것입니다. 수성층눈물이 증발되면 안구가 뻑뻑해져서 결막에 상처가 쉽게 나고외부의 바이러스균들이 결막에 침투하여서 결막염과 통증을 유발시키고시야를 뿌옇게 보이게 하거나 시력을 저하시키기도 합니다. 지방층 눈물인 보호막이 없으면 찬바람이 안구에 바로 들어와서안구는 체온이 떨어지게 됩니다. ㅠㅠ눈은 정상체온을 유지시켜서 자신의 안구를 보호해 보려고수성층 눈물을 계속 흘려보내서 눈물이 고이는 것입니다. 보호막이 없는 안구는 밝은 빛이 안구에 직접 침투하여서 눈이 부시고힘들어서 눈은 자신의 안구를 보호하려고 밝은 빛에 노출되면눈이 자연스럽게 감기는 것은 자신의 안구를 보호하려는 반응입니다. 그런데 우리는 그 무언가를 하여야 함으로 눈에 힘을 주며 뜨려고 하여서눈은 자신의 의지와는 관계없이 눈의 주인에 의에서 떠야 함으로안구는 지치고 힘들어서 시력은 서서히 나빠지는 것입니다. 그래서 안구건조증은 초기에 빠른 치유가 매우 중요합니다. 건조된 눈에는 잠시라도 눈을 보호해주기 위해선 인공눈물 사용이꼭 필요할 수도 있겠지만 인공눈물에 길들여져서 평생을 사용하는일은 없어야할 것입니다. 우리 눈은 자신의 눈에서 분비해주는 자연눈물을 원하고 있습니다.그래서 안구건조증은 근본원인(마이봄샘)을 자연치유로 건강하게완치시켜 주어야 하는 건조성질환입니다. 안구건조증은 잠시 진정효과로 착각할 수 있게 하는 치료방법 보다는퇴화로 진행하고 있는 마이봄샘 분비기능인 근본원인을빠르게 개선시켜 주어야 건강한 눈으로 회복할 수 있는 질환입니다. 우리는 자신의 눈이 그렇게 할 수 있도록 가볍게 도와만 주시면안구건조증과 안구질환은 약물 등의 후유증과 재발걱정 없이자신의 눈이 원하고 좋아하는 자연눈물을 분비해주는건강한 눈으로 회복하실 수 있는 것입니다. 위 자연치유 블로그의 도움으로 건강한 눈으로 회복하세요.(모바일 검색시 네임카드가 안보이시면 PC버전으로 확인 하세요~)
안구건조증 치료기간,하루에 보통 9~10시간 정도 휴대폰을 잡고 있었더니 병원에서 눈이 많이 건조하다길래 안약 처방 받고하루종일 눈에 이물감과 뻑뻑함이 드니 안되겠다 싶어 휴대폰 사용을 2~5시간 사이로 줄였습니다 ㅠㅠ 몇 년동안 지속된 중독이다보니 더 이상은 줄이기가 너무 힘들어 더 하고싶어지는 걸 방지하기 위해 아예 오전이나 오후에 따로 낮잠을 자는데요 ..의사선생님이 처방해 주신 안약을 넣긴 하는데 깜빡하고 못 넣거나 여러가지로 듬성듬성 하루에 4번인데 2~3번 널는 경우도 있습니다.지금 4~5주 정도 안구건조증이 지속되었는데요여전히 하루종일 이물감으로 인한 고통의 연속이라휴대폰 사용 시간을 절반이상으로 줄였음에도 호전이 되지 않고 있습니다..이 질병이 완치같은게 따로 없어 꾸준히 관리해주어야 한다는 건 알고있습니다.현재 하루마다 따뜻한 물수건으로 눈찜질을 하고 있고 결명자를 우려내 매일 마시고 있습니다 수면은 평균 10시간 이상으로 취침가능한 환경이며 스트레스 요인이 거의 없습니다. 본인은 거의 실내에서 생활하며 집 밖으로 외출을 잘 하지 않습니다. 안약 투여를 성실히하고 휴대폰 사용 시간을 좀 더 줄이도록 노력한다고 치면 몇 개월 정도 흐르면 눈이 편해지나요?또한 안구건조증에 좋은 영양제같은 것도 추천 부탁드립니다 ㅠㅠ 진짜 하루하루가 죽을 것 같네요..심한 안구건조증을 겪어 보신 분이라던지 완화하신 분들의 답변도 궁금합니다.. 살려주ㅜ세요,"렌즈를 끼시는건가요?인공누액을 넣는데도 건조증이 여전하시다면 농도가 진한 인공누액으로 바꿔서 사용을 하시는 것이좋습니다.온찜질도 하시고 나름대로노력을 많이 하시는데도 효과가 없으시니 참으로힘드시겠습니다.계시는 공간에 수건을 빨아서널어두시면서 습도를 높여주시는것도 도움이 될것 같고요.눈영양제는 필수적으로 한가지정도는 드시는 것이 유익합니다.약국에 가셔서 상태를 설명을하시면 눈영양제를 추천을 해줄겁니다.추천을 해주는 영양제를 매일드시면서 비타민이 풍부한 과일과채소,생선,고기,당근,토마토 종류를골고루 드시면 완화가 될겁니다.."
안구건조증 치료기간,하루에 보통 9~10시간 정도 휴대폰을 잡고 있었더니 병원에서 눈이 많이 건조하다길래 안약 처방 받고하루종일 눈에 이물감과 뻑뻑함이 드니 안되겠다 싶어 휴대폰 사용을 2~5시간 사이로 줄였습니다 ㅠㅠ 몇 년동안 지속된 중독이다보니 더 이상은 줄이기가 너무 힘들어 더 하고싶어지는 걸 방지하기 위해 아예 오전이나 오후에 따로 낮잠을 자는데요 ..의사선생님이 처방해 주신 안약을 넣긴 하는데 깜빡하고 못 넣거나 여러가지로 듬성듬성 하루에 4번인데 2~3번 널는 경우도 있습니다.지금 4~5주 정도 안구건조증이 지속되었는데요여전히 하루종일 이물감으로 인한 고통의 연속이라휴대폰 사용 시간을 절반이상으로 줄였음에도 호전이 되지 않고 있습니다..이 질병이 완치같은게 따로 없어 꾸준히 관리해주어야 한다는 건 알고있습니다.현재 하루마다 따뜻한 물수건으로 눈찜질을 하고 있고 결명자를 우려내 매일 마시고 있습니다 수면은 평균 10시간 이상으로 취침가능한 환경이며 스트레스 요인이 거의 없습니다. 본인은 거의 실내에서 생활하며 집 밖으로 외출을 잘 하지 않습니다. 안약 투여를 성실히하고 휴대폰 사용 시간을 좀 더 줄이도록 노력한다고 치면 몇 개월 정도 흐르면 눈이 편해지나요?또한 안구건조증에 좋은 영양제같은 것도 추천 부탁드립니다 ㅠㅠ 진짜 하루하루가 죽을 것 같네요..심한 안구건조증을 겪어 보신 분이라던지 완화하신 분들의 답변도 궁금합니다.. 살려주ㅜ세요,"안구건조증에 대하여 잘 나타내 주는 동영상이 있습니다. 아래 동영상을 한번 보세요. https://youtu.be/pqSBIztTvl0

우리의 눈위에 눈물의 층은 조금 복잡한 구조로 되어있답니다. 거두 절미하고 눈물이 본인의 눈위에 좋은 상태로 잘 위치를 하려면 각막표면에 있는 융털모양의 점액질 성분의 조직이 존재를 해야 되지만 동영상에 중간쯤의 sceen에서 보다시피 각막표면의 조직이 유실 된 것이며(세포유실) 그렇게 되면 점액층이 없고 점액층이 없으면 눈물이 들러붙어 있을수가 없으며 결국 각막표면에서 쉽게 눈물막이 깨지게 되며 눈물막의 손상은 심한 건조감(통증)의 유발의 연쇄반응을 갖게 됩니다. 단순히 눈물막이 없거나 얇은 것으로만 생각을 하지만 실상은 그 밑단에 고착할수 있는 무언가의 유실로 보시면 맞겠습니다.어느시점에서는 이런 부분이 정상적으로 새로 만들어져야 하지만 한번꺠진 조직의 복구가 쉽지 않습니다.깨진 조직의 범위가 더 클수록 복구하는데 시일이 필요한셈입니다.눈을 비비는 습관이 있거나 장시간+장기간 소프트렌즈착용자 또는 잦은 눈병이 있었거나 각막상태가 좋지못함을 인지하였는데도 방치상태가 긴 경우로 볼 수 있습니다.개선은 충분히 시간이 필요하게 됩니다.잦은 인공누액의 사용은 오히려 더 좋지못하게 할 수 있습니다. 오히려 본인의 눈물에 더 좋은 영양분이 있습니다.(치유성분)가습기사용을 해주시고눈깜박임을 잘 해주시면 좋습니다.'내가 뭔가를 주시할때 눈깜박임이 별로 없는 경우'가 많습니다. 이때 또 눈물막이 깨지며 각막이 공기중에 그대로 노출이 되면 융털같은 조직들이 마른 볕단처럼 말라서 죽게 됩니다. 이러한 부분들에 대한 '이해'를 해주시고 구조적인 이해를 바탕으로 본인 각막이 스스로 치유능력이 가능하도록 잘  케어가 필요하겠습니다."
안구건조증 치료기간,하루에 보통 9~10시간 정도 휴대폰을 잡고 있었더니 병원에서 눈이 많이 건조하다길래 안약 처방 받고하루종일 눈에 이물감과 뻑뻑함이 드니 안되겠다 싶어 휴대폰 사용을 2~5시간 사이로 줄였습니다 ㅠㅠ 몇 년동안 지속된 중독이다보니 더 이상은 줄이기가 너무 힘들어 더 하고싶어지는 걸 방지하기 위해 아예 오전이나 오후에 따로 낮잠을 자는데요 ..의사선생님이 처방해 주신 안약을 넣긴 하는데 깜빡하고 못 넣거나 여러가지로 듬성듬성 하루에 4번인데 2~3번 널는 경우도 있습니다.지금 4~5주 정도 안구건조증이 지속되었는데요여전히 하루종일 이물감으로 인한 고통의 연속이라휴대폰 사용 시간을 절반이상으로 줄였음에도 호전이 되지 않고 있습니다..이 질병이 완치같은게 따로 없어 꾸준히 관리해주어야 한다는 건 알고있습니다.현재 하루마다 따뜻한 물수건으로 눈찜질을 하고 있고 결명자를 우려내 매일 마시고 있습니다 수면은 평균 10시간 이상으로 취침가능한 환경이며 스트레스 요인이 거의 없습니다. 본인은 거의 실내에서 생활하며 집 밖으로 외출을 잘 하지 않습니다. 안약 투여를 성실히하고 휴대폰 사용 시간을 좀 더 줄이도록 노력한다고 치면 몇 개월 정도 흐르면 눈이 편해지나요?또한 안구건조증에 좋은 영양제같은 것도 추천 부탁드립니다 ㅠㅠ 진짜 하루하루가 죽을 것 같네요..심한 안구건조증을 겪어 보신 분이라던지 완화하신 분들의 답변도 궁금합니다.. 살려주ㅜ세요,저도 안구건조증이 정말 심했습니다.ㅠㅠ잦은 렌즈 착용 탓에 고등학교 때부터 안구건조증이 심했는데요.그렇다고 해서 밖에 다닐 때는 안경을 착용하기에는 너무 불편하더라구요.그렇다보니 렌즈를 계속 착용하게 되었는데..건조증도 심할뿐더러 늘 눈이 따갑고이물감을 느껴 항상 눈의 피로감을 느꼈었습니다. 그래서인지 1회용 인공눈물도 항상 지니고다니면서 수시로 넣어주었었는데요. 일시적으로만 이물감느껴지는 것과 뻑뻑한게 나아졌지 시간이 지나면다시금 또 피로함을 느끼고 뻑뻑해지더라구요. 이제는 렌즈를 끼지 않고 안경을 착용하고 있을 때마저도이물감을 느끼고 눈이 피로하고 따갑고 아플때가 많아요..ㅠㅠ건조증 심한 분들은 알거에요ㅠㅠ 눈도 뻑뻑하고 항상 무겁고 불편하고...제 직업상 컴퓨터 앞에도 장시간 앉아서 봐야하는 직업이기 때문에 매우 불편한 점이 많아요.안과도 자주 다녔었던 케이스구요.. 그래도 요즘엔 보조 식품먹고 좀 나아졌어요.대학 동기 중 안구건조증이 심했던 친구가 한명 있었는데 그 친구는 진짜 인공눈물 하루에 2개씩 가지고 넣어다니면서까지 건조증이 심한 친구 였어요. 눈 깜빡임도 심하고 항상 그친구보면 내가 안구건조증 심하다고 비할게 아니구나 싶을 정도였거든요.. 근데 그 친구가 먹는 보조제 먹고 건조증이 많이 나아졌다고 해서 그 친구한테 소개받고 저도 지금 거의 3개월 반 정도 먹고있는데요.확실히 효과 보고 있는 것 같아요. 건조한것도 덜하고 우선 눈에 피로감이 없어요.이름이 옵티비올이라는 건데 친구한테 소개받고 검색해서 알아봤었는데 이브퐁루아?라는 곳에서 구입이가능하더라구요.! 그래서 지금까지도 너무 잘 먹고 있어요..무엇보다 신뢰가 갔던게 다른 보조식품들은 약간 인공적이고 화학적이라고 생각했었는데 여긴 천연식품으로 제조하더라구요! 그래서 믿음이 가서 지금은 현재 저도 많이 먹지만 저희 부모님도 꾸준히 드시고 계세요.건조증심하신 분들이라면 이거 추천해드리고 싶어요..저도 제 친구들한테 소개해주고 있거든요ㅎㅎ..너무좋아서..무튼 추천드립니다!!
이게 대체 뭘까요?안녕하세요 저는 중학생인데요. 한 3일? 전에 아침에 일어나보니까 눈이 붓고 눈썹아래쪽 뼈같은 곳이 약간 누르면 아프더라구요. 다음날도 그렇고 점점 눈이 붓기 시작하고 아프던 부분에 조금 크게 뭐가 난거 같아요. 친구 말로는 자기도 그런거 났었다고 그거 여드름이라고 하는데 이렇게 큰 여드름은 처음이라서 잘 모르겠어요.. 여드름이 원래 이렇게 크고 아프고 눈이 부을 정도로 나는 건가요? 할머니는 뭐 이상한거 난거 아니냐고 자꾸 병원을 가보라고 하는데 병원을 가야할까요? 병원을 가야한다면 어느 병원으로 가야하는지 알려주세요ㅠㅠ 내일 모레 학교가야하는데 이상태로 가야하겠죠?ㅠㅜ 집에서 없애는 방법은 없을까요? 제발 빨리 좀 답변 부탁드릴게요ㅜㅠㅜ,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",모기...아닐까요?
단안복시증상 어떻게 해야할까요,"제가 왼쪽눈은 원추각막이라 부정난시구요 사위도 있지만 티가잘안나는 경우라 따로 치료는 안해도 된다고하시고 부정난시인 완쪽눈도 시력이 어느정도 나와서 하드렌즈 안쓰는게 좋겠다고 하셔서 안하고 있습니다 그런데 몇년전부터 오른쪽눈이 가까이있는건 잘보이는데 멀리있는게 잘안보이더라구요 평소 먼가를 집중해서 하거나 폰을 본다거나 책을 보면 더 심해지기도 하구요 심할때는 5미터 정도거리의 글자도 먼가모르게 번져보이고 10미터 정도되는 거리에 사람얼굴도 뚜렷하게 안보여서요  병원에 가서 각막신경, 굴절검사등등 해봤지만 눈이 양쪽 시력이 많이 차이가 나는것 사위가 있고 왼쪽눈이 원추각막이라는거 빼면 문제가 없다고 안경도수도 이게 맞다고 하시네요 안경점에가도 도수는 문제없다는데 하얀원를 보여주면서 도수를 높이고 해봤는데 도수를 3단계 높이니 동그란 원이 뚜렷하게 보이긴 하더라가요 안경점에서도 도수를 높인다고 되는게 아니라고  일단 본인이 불편해 하시니 한달뒤에 다시보자고 그때도 불편하면 본인도수보다 높이는걸 해보자 하긴 했는데 의사선생님 말대로 하면 어지러울것 같기도하고 근데 병원에 물어보니 도수를 높여서 더 잘보인다면 상관없지만 아마 본인이 어지러워서 못쓸거라고 하더군요 전 생활하는게 지장이 많은데 병원에서는 문제가없다하니 답답합니다 이걸 어떻게 해야할지 모르겠습니다 도수를 무작정 높여서 쓰는것도 아닌것 같고 어떻게 해야하나요",말한 것을 종합하여 보면 -좌안은 시력이 어느 정도 나옴 + 부정난시상태 => 번져보임-우안은 도수가 있어서 덜 보여서 안경착용상태 ---------좌우안은 양안도수차이가 있어서 부등시상태인 것 같습니다. 이때 우안도수를 더 올리면 부등시 상태가 더 차이가  생겨서 불편할 수 있겠습니다.따라서 이때에는 도수를 올리면서 부등시상태를 해소하는 방법으로 각막표면과 안경렌즈를 거리를 최대한 가깝게 하면 됩니다.그러나 현실적으로 그럴 수가 없으니 결국 소프트렌즈나 하드렌즈를 쓰면 됩니다. 1) 난시가 별로 없다면 소프트렌즈로 교정 테스트를 해보시면 되겠습니다.2) 만약 난시량이 상당히 있다면 하드렌즈로 교정을 해보시면 되겠습니다. 좌안이 부정난시인데 혹시 우안도 비슷하거나 또는 상당량의 난시량이 있다면 하드렌즈로 한쪽만 착용을 해도 상당히 개선이 된답니다.이외 정보량이 적어서 디테일한 답변이 어렵겠습니다.추가질문은 댓글에 남기거나 추가 질문을 해보시길 바랍니다.드렸던 내용이 도움이 되셨기를 바랍니다. 도수의 상승은 본인이 언급한대로 '무작정 올릴'수 없고 꼭 안경이나 하드렌즈 등 착용상태에서 기준이상 넘는지에 대한 판단을 해볼 수 있겠습니다. - 안경은 적녹검사 또는 핀홀 검사 - 하드렌즈도 동일한 적녹검사 또는  잔여도수를 파악할 수 있는 '덧굴절검사' 등을  통하여 최종 결과에 대한  객관적인 검증을 해보시면 되겠습니다. ^^드렸던 내용이 도움이 되셨기를 바랍니다.
귀에서 삐소리 나요....급해요!!!!아침에 롤러스케이트장에 갔었는데 거기서 음악이 좀 컸는데 한시간반 정도 있었어욤집도착할땐괜찮았는데 어느순간부터 갑자기 엄청 소리가 나요삐소리는 나긴한데 다른소리도 잘들려요휴식을 취해보려고 하지만 너무 시끄러워서 잘수가 없네요1.노래를 틀고 자는건 귀에 안좋겠죠?2.당장 병원 가봐야되나요?,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",네 이명이라고 하는 현상인에요갑자기 큰소리를 듣거나 그러면 달팽이관에 이상이 생겨서 그러는건데 보통이라면 몇시간 지나면 나아지지만계속 그런 소리가 들리신다고 하시면 병원 가셔야 될거같아요
기침이 계속 나옵니다,"콧물, 기침, 가래 등으로 이비인후과에 가서 약을 2주 정도 먹었습니다. 그리하여 감기가 나았거니 생각했는데 기침은 계속 나오네요. 목이 간질간질하고 마른 기침 느낌으로 쿨룩쿨룩 뱉어냅니다. 딱히 자주 나오는 시간대나 그런 것은 없고 굳이 생각해보자면 웃을 때나 말을 하는 중 중간중간 더 자주 나오는 것 같습니다. 기침을 하고 목에 침을 삼킬 때 가래끓는 기가 살짝 느껴지고 따로 가래를 뱉는 경우는 거의 없습니다. 가끔 기침을 크게 할 때 정말 미량으로 올라오는데 뱉어보면 특별한 색깔은 없습니다.처음엔 감기기운이 남아있거나 봄에 미세먼지와 꽃가루의 영향 등으로 그러는가 싶은데, 감기의 증상이 어느정도 완화되었고 병원에서 타왔던 약을 그만두고 감기 증상도 완화된지 2~3주 정도는 된 거 같은데 계속 기침이 나와 너무 불편하여 질문합니다. 답변 부탁드립니다!","아직은 두고봐야겠지만 오래가는 기침은 가볍게 여기면 안되는게기침이 심해지면 기관지확장증, 기관지염, 폐렴으로 이어져서 조심해야 합니다.어릴때부터 저도 기침, 기관지염, 폐렴으로 항생제와 항히스타민제를 달고 살았습니다.한약도 먹고 좋다는 민간처방을 비롯해서 안해본거없이 다해봤지만 남들이 좋다고따르기보다는 자신의 체질에 맞는 치료법을 찾는게 가장 중요한것 같습니다.저는 프로폴리스를 먹고 완치했는데 기침과 기관지염이 치료된것은 자신에 맞는것을 발견한것이죠.유명하고 효과도 빨라서 남도향.프로폴리스를 먹었는데 자세한건 검색해보세요.따뜻한물을 자주 마시는게 좋습니다."
기침이 계속 나옵니다,"콧물, 기침, 가래 등으로 이비인후과에 가서 약을 2주 정도 먹었습니다. 그리하여 감기가 나았거니 생각했는데 기침은 계속 나오네요. 목이 간질간질하고 마른 기침 느낌으로 쿨룩쿨룩 뱉어냅니다. 딱히 자주 나오는 시간대나 그런 것은 없고 굳이 생각해보자면 웃을 때나 말을 하는 중 중간중간 더 자주 나오는 것 같습니다. 기침을 하고 목에 침을 삼킬 때 가래끓는 기가 살짝 느껴지고 따로 가래를 뱉는 경우는 거의 없습니다. 가끔 기침을 크게 할 때 정말 미량으로 올라오는데 뱉어보면 특별한 색깔은 없습니다.처음엔 감기기운이 남아있거나 봄에 미세먼지와 꽃가루의 영향 등으로 그러는가 싶은데, 감기의 증상이 어느정도 완화되었고 병원에서 타왔던 약을 그만두고 감기 증상도 완화된지 2~3주 정도는 된 거 같은데 계속 기침이 나와 너무 불편하여 질문합니다. 답변 부탁드립니다!",다시 병원에 가세야할거 같은데요.
