제목,질문,답변,https://kin.naver.com/search/list.nhn?query=어느+병원+-동물+-성형+-강아지+-피부과+-개인회생+-인테리어+-진로+-커리큘럼+-자동차+-도서+-보험+-교통+-차+-간호학과+-학과&sort=date&period=2018.07.07.|2018.07.11.&section=kin&page=1
제가 정신적으로 아픈건가요?(정신건강),"제가 정신적으로 아픈건가요?안녕하세요..사실 병원에 가면 보다 더 정확하겠지만, 그래도 병원에 가는 건 역시 겁이 나서... 다른 분들의 의견을 좀 듣고 그 다음에 가고 싶어서요. 주변에 판단을 부탁하기엔 부담스럽고...반년 쯤 전부터 우울하고 무기력한 느낌이 반복적으로 있어왔습니다. 우울한 기분을 폭식으로 풀기도 여러 번. 하지만 다이어트를 해왔던 기억이 있어서, 적절한 때에 스스로를 조절해 살은 오히려 유지·2키로그램 정도가 빠진 상태입니다.(사실 2키로그램은 왔다갔다 하지요ㅎㅎ) 식욕과 음식에 대한 불안함? 이 과할 정도로 제 머릿속을 많이 차지하고... 지금도 그렇고.그러다 3월달부터 조금 호전되는 듯 싶었어요. 친구들이랑 술도 먹으러 다니고 사회생활도 하고있는 터라 괜찮은 것 같았어요. 하지만 전 몰랐는데, 이제와서 생각해보니 제가 외로워한 것도 같고... 같이 있어도 외로운 느낌이나, 하루 끝에 공허함? 같은 걸 좀 예민할 정도로 잘 느끼는 것 같아요.또 쉽게 상처를 잘 받아요. 남한텐 정말 사소한 말 한마디도 저는 그 말 듣고 죽고싶은 충동 느껴요. 무심코 식칼 같은 것에 시선이 가고 손에 쥐어보기도 하고... 그러다 결국은 겁이 나서 그만둡니다. 정말 사소한 잔소리나 말에도요 상처를 많이 받는 거 같아요.. 전 그럴때마다 제가 너무 미친거 같아서 그럴수록 더 슬퍼지고. 또 가끔 잘 때 속이 너무 답답해서 숨이 안쉬어져요. 가슴을 몇번 쳐보기도 하고 한숨도 계속 쉬고 해야 겨우 괜찮아져요.. 전에는 아 내가 우울증인가? 생각하다가도 저는 우울하면 안되는 사람이다, 내가 부족하게 자란게 뭐냐 싶어서 일부러 자기암시를 건 것 같아요. 가족들 다 힘든 거 옆에서 보이는데 난 거창하게 댈 이유도 없고 해서... 한참 심했을 땐 제 다이어리에 유서 비슷한 것도 써보고. 최근 많이 나아졌다 싶었는데, 갑자기 어느순간 눈물이 나거나 죽은 연예인들 영상·프로필을 찾아본다거나.. 그리고 또 그거 보고 울어요. 근데요, 밖에 나가서는 정말 정상인이거든요. 남들처럼 웃고 술도 마시고 그래요. 엄마 아빠랑도 현재는 사이 나름 괜찮고요. 주로 엄마 말에 상처를 많이 받긴 하지만요...(이 전엔 언니한테도 상처를 많이 받았어요) 감기처럼이라기도 뭐하지만 가끔씩 훅 하고 들어오는 것처럼 이런 우울감.충동. 그런게 와요... 약물치료가 필요한 상황일까요, 저? 그리고 많이 심각한 걸까요...?",허약자인   면역질환자 증상들인데      내분비과에서 체크해보도록   다이어트에  식습관이 엉망들이니   신체 정신 모두  병이 올수밖에
피어싱 기초 팁?,제가 피어싱을 뚫으려 하는데 귓볼 부분에 뚫을려고 하거든요... 근데 피어싱은 귀걸이처럼 양쪽 다 뚫는게 아닌건가요?? 또 피어싱은 귀 하나에도 부위가 많던데 딱히 피어싱을 어느위치에 꽂아야한다고 정해져있는건 아니죠ㅠㅠ? 귀걸이도 껴본적이 없고 피어싱도 처음 뚫는거라 모르는게 너무 많아요ㅠㅠ 피어싱 팁? 같은것도 부탁드려요... 그리고 살튀? 는 뭔가요...? 이런 기본적인 말들도 모르겠어서... 이런 용어들도 부탁드려요!,피어싱 위치는 기본적으로 사진 참고하시면 될 것 같아요!보통은 신민아존처럼 연예인들 따라서 뚫어달라고 많이하구! 저도 처음에는 신민아존 따라서 뚫어달라구랬어용ㅋㅋ근데 여기 위치 말고도 질문자님이 원하는 곳이 따로 있다면 뚫어달라하구! 질문자님 귀에 맞는 부분 추천해주시기도해용!저같은 경우는 사진의 트라거스 부위가 작아서 이쁘지않다고 안뚫어줘써옄ㅋㅋㅋ 살튀는 보통 귓바퀴쪽에서 피어싱 뚠 부의에 살이 톡 튀어나오는 거 말하는거같아요!ㅠㅜ이뿐 피어싱하세여~~~
피어싱 기초 팁?,제가 피어싱을 뚫으려 하는데 귓볼 부분에 뚫을려고 하거든요... 근데 피어싱은 귀걸이처럼 양쪽 다 뚫는게 아닌건가요?? 또 피어싱은 귀 하나에도 부위가 많던데 딱히 피어싱을 어느위치에 꽂아야한다고 정해져있는건 아니죠ㅠㅠ? 귀걸이도 껴본적이 없고 피어싱도 처음 뚫는거라 모르는게 너무 많아요ㅠㅠ 피어싱 팁? 같은것도 부탁드려요... 그리고 살튀? 는 뭔가요...? 이런 기본적인 말들도 모르겠어서... 이런 용어들도 부탁드려요!,1. 피어싱은 바의 두께가 귀걸이보다 조금 더 두껍고 낱개로 판매한다는 점에서 귀걸이와 차이가 있지만 그것 이외에는 귀걸이와 별반 다르지 않으니 양쪽 뚫으셔도 좋습니다. 2. 피어싱 부위마다 정식 명칭이 있습니다. 피어싱 부위라고 치시면 이미지 많이 나오는데 참고 하시면 될 것 같습니다. 근데 피어싱 샵 가셔서 뚫으실 부분 보여드리고 거기 뚫어달라고 하셔도 뚫어 주실겁니다.3. 살튀란 켈로이드를 말하는데 잘못된 피어싱 관리나 사용법으로 인해 피어싱을 뚫은 귀 주변 살이 튀어나오는 것을 말합니다. 살이 작게 튀어나오고 심각하지 않을 때는 집에서 소독과 연고로 해결 하실 수 도 있지만( 제 경험입니다. 의사의 전문적인 의견이 아니니 너무 맹신 하지 마세요!) 왠만하면 병원에서 진단 받는 것이 좋습니다. 정말 심한 경우 귀를 절단할 수도 있습니다. 그 때가 될 때까지 병원에는 꼭 가시겠죠?4. 피어싱한 부분 소독은 매일 해도 좋지 않습니다. 일주일의 3번 정도가 적당하고 연고는 매일 바를 수록 좋습니다. 새살 돋는 마*카솔은 사용하면 안되고 후*딘을 추천 드립니다. 귀가 부었을 경우 약국에서 구입하실 수 있는 소염제를 드시면 좋은데 심해지신 경우 역시 병원에 가시기를 권유합니다.도매야라는 피어싱 사이트는 저렴한 가격에 기본적인 피어싱을 구매하기에 좋습니다.핑크로켓이라는 사이트는 유니크한 디자인의 피어싱을 구매하시기 좋습니다. 피어싱을 뚫은지 얼마 안되신 분은 일정 기간 동안 금주하셔야 합니다.예쁜 피어싱 하세요!
대장내시경은 큰병원에서 하는게 유리한가요?,대장내시경 검색해보니까요 대장내시경을 하다가 용종이 발견되면 제거한다고 하더라고요 근데 용종을 제고하다가 천공이 발생되면 응급수술할수도있고 혹은 입원해가지고 추이를 지켜본다고도 하더라고요제가 수년전에 동네 병원에서 대장내시경한적이 있었는데 그 당시엔 의료사고는 없었는데요지금보니까 동네병원에서 용종제거하다가 천공발생하면 종합병원으로 옮겨져서 수술이 필요하면 할텐데만일 이런 가정을하면 애초에 대장내시경은 종합병원을 가서 하는게 좋은건가요?아님 동네 병원에서 전문의가 2명 있는데 받아도 상관없다고 보시는지요?,요즘은 단순 절제술정도는 어느정도 시설이되있는 동네 의원급은 충분히 가능합니다 다만 드물게 항상 모든게 100%라는것은 없으니검사도중 도저히 의원내 시설에 의한 수술이 불가능한경우가 관측이 된다하면상급의료기관으로 후송을 하겠지요보통 그런케이스는 없으니 해당 의원이 시설보유와 전문의가 수술이 가능하다하시면 상관은없습니다
여자밑에 음모난부분아래 생식기 위에 음모나는 살부분맨아래 있잖아요 쉬나오는곳 위에 살요생전 그런적이 없었는데 어느순간부터 거기가자꾸 찢어지더라구요매일 청결제로 씻고 청결하게 관리하는데도툭하면 찢어지고 낫고를 반복하네요부부관계도 원인은아니에요 안하니까요갑자기 밑에부분 살이 쉽게 찢어지는것같아요질 부분아닙니다왜 그런지 알려주세요,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",안녕하세요. 제이엘입니다.피부질환이나 부인과적 질환으로 해당부위의 살이 약해지는 경우도 있으니병원에서 진료를 받아보시고 처방을 받으시는것이 좋겠습니나.질문 내용으로는 상황을 정확히 알기가 어렵습니다.
안녕하세요! 지금 중학교 2학년인 학생입니다제가 운동을 하기도 하고 친구들하고 몸싸움을 하고 많이 놀아서 안경이 정말 불편한데요 도수 있는 렌즈 끼고 싶은데 렌드 껴도 괜찮을 까요??참고로 시력은 많이 안좋습니다ㅠㅠ질문들 정리하면1.시력이 많이 나쁜 중2 학생인데 렌즈 껴도 잘만 관리하면 괜찮나요??2.하드렌즈랑 소프트 렌즈 중에 뭐가 나을까요??(참고로 병원에서는 끼지 말라는데도 있고 잘 관리하면 괜찮다는 데도 있네요ㅠㅠ),"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...","이제 안경에서 벗어나 렌즈를 끼려고 하시는군요!저는 개인적으로 좋은 선택이라고 생각해요언제나 안경만 쓰고 있으면 얼굴 생김새에도 변화가 오고여러 모로 불편한 점도 많으니까요그리고 안경만 쓰다가 렌즈를 낀다는 것 자체가 좋은 기분 전환입니다ㅎㅎ1. 중학교 2학년이시라면 그렇게까지 이른 것도 아니고 괜찮아요! 요즘은 시력이 많이 나쁘고 난시가 심한 사람들에게도 맞는 좋은 렌즈들이 많아서 시력이 낮더라도 잘 끼실 수 있어요관리는 물론 잘 해야 하겠지만 생각보다 어렵지 않고몇 분씩만 투자하면 됩니다! 다만 너무 오랜 시간, 그리고 매일 끼면 눈이 쉽게 건조해지고 피로해지기도 하고 눈 표면에 미세한 상처가 생기면 난시가 생길 수도 있습니다 눈이 쉽게 충혈되거나 충혈된 게 잘 가시지 않기도 하고요...그러지 않기 위해서는 일단 너무 긴 시간(아침부터 잠들기 전까지 계속 끼고 있는다든지) 동안 렌즈를 착용하는 건 되도록 피하고 주말이나 가끔씩은 렌즈 대신 안경을 쓰는 식으로 눈에게 쉴 시간을 주는 게 좋아요 2. 장단점이 있어요소프트렌즈는 일단 가격이 저렴하고 종류도 다양하며 렌즈를 처음 껴 보는 사람이라도 비교적 쉽게 낄 수 있고 처음 꼈을 때의 착용감도 괜찮아요 진입 장벽이 낮습니다!그런데 소프트렌즈가 눈의 수분을 흡수하는 성질이 있어서...계속 끼면 눈이 건조해지기 쉽고 눈에 공기가 잘 통하지 않아서 눈이 쉽게 피로해집니다 그리고 말했다시피 수분을 흡수하기 때문에 오염되기가 쉬워서 아무리 깨끗하게 관리하더라도 자주 바꿔줘야 합니다반면 하드렌즈는 말 그대로 단단한 렌즈라서 잘 오염되지 않고 산소투과율도 소프트렌즈보다 훨씬 좋고 눈을 건조하게 만들지도 않아요! 그래서 적응하면 소프트렌즈보다 훨씬 오랫동안 껴도 눈이 잘 피로하거나 충혈되지 않아요 편합니다! 하지만 문제는 일단 소프트렌즈보다 비싸고... 적응하기까지 이물감이 심하고 눈에 이물질이 들어가면 많이 아픕니다... 적응 기간이 좀 길어요 빠른 사람들도 있지만 길게는 한 달동안 아픈 걸 참으면서 껴야 합니다 개인차가 심하다고 해요 그리고 드물지만 하드렌즈는 눈을 맞았을 때 깨진다든지 하는 위험성도 있기는 합니다이렇게 장단점이 있으니까 잘 판단해서 사시면 될 것 같아요자주, 그리고 오래 끼실 것 같다면 장기적으로 봤을 때 하드렌즈를 사는 게 오히려 경제적이고 편할 것 같습니다하지만 소프트렌즈가 여러 모로 간단하고 나을 수도 있지요어느 것이라도 꼭 나쁜 건 없으니까 잘 판단하셔서 사시면 될 것 같아요눈 건강 지키면서 렌즈 끼시길 바랄게요ㅎㅎ"
림프절 양성 신생물(상병코드 D36.0),"고3 남학생의 부모입니다. 지난 6월 5일 고열이 발생하였는데 운동부인 아들은 전지훈련으로 약물이나 병원진료를 전혀 받지 못하고 다음날 전지훈련을 마치고 귀원한 아들이 고열을 호소하여 바로 병원진료를 하였더니 39도 정도의 고열과 편도가 심하게 부은 것을 확인하여 병원진료를 하였습니다. 7월 8일 아들은 세안 중에 왼쪽 턱 아래 부위에 덩어리가 만져진다고 하여 병원진료를 하였더니 림프절 양성 신생물이란 진단을 받았고 ct촬영, 방사선검사, 조직검사가 필요하다고 하는데 병원사정 상 7월 30일에 검사를 하고 8월 10일에 검사결과를 알 수 있다고 합니다(몽우리를 만지면 통증은 없습니다)문의 1) 림프절 양성 신생물이란 무엇인지요?문의 2) ct촬영, 방사선 검사, 조직검사와 검사결과까지 앞으로 한 달이나 걸리는데 그때 까지 기다려도          되는 건지 불안합니다..문의 3) 6월 5일 고열발생과 관련이 있는 건지요?문의 4) 치료과정은 어떻게 되는지요?문의 5) 검사비용은 어느 정도가 되는지.. 보험금은 청구할 수 있는지요?","안녕하세요 새빛손해사정입니다 문의 1) 림프절 양성 신생물이란 무엇인지요?림프절 부위에 발생한 양성(악성이 아닌.. 위험성이 적은) 종양(혹덩어리)  이라는 의미입니다문의 2) ct촬영, 방사선 검사, 조직검사와 검사결과까지 앞으로 한 달이나 걸리는데 그때 까지 기다려도          되는 건지 불안합니다..어쩔수없습니다. 시간 경과야 어쩔수 없지만 정확한 진단 및 검사 없이 치료가 불가능합니다문의 3) 6월 5일 고열발생과 관련이 있는 건지요?가능성은 있으나 확정적이라고 말씀드릴순 없습니다문의 4) 치료과정은 어떻게 되는지요?해당 종양의 상태에 따라 수술, 약물, 경과관찰 등 치료방법을 담당의가 권유할 것 입니다문의 5) 검사비용은 어느 정도가 되는지.. 보험금은 청구할 수 있는지요?검사비용이 덜마나 나올지는 현재로써는 알수는 없습니다...네 청구가능합니다"
엄마 치매증상,계속 몇초전일도 까먹으시고 오늘은 저는집에있고 엄마가 밖으로나가셨는데갑자기 전화와서 저보고 어디라는거에요 나가기전까지만해도 같이있엇는데 치매오신걸까요 병원검사갈려면 어느병원가야하나요,'신경과' 에서 진료를 받아보세요 검색하시면 근처에 있는 신경과가 나올테니 한번 가보세요.
제가 2주 전쯤에 머리를 세게 부딪히고 그냥 넘어갔습니다근데 오늘 머리가 아프고 잠깐이지만 한쪽눈이 뿌옇게 보였었는데 혹시 뇌출혈인가요? 그러면 어느 병원을 가는게 좋을까요?,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",안녕하세요?소량의 뇌출혈이 있었을 가능성이 있지만 뇌진탕일 가능성이 높습니다그래도 혹시 모르니 가까운 대학병원 응급실에 가셔서 진료를 받아보세요일반 병원이면 신경과로 가시면 되는데 혹시 모르니 응급실 가보세요만약 소량의 뇌출혈이었다면 잠자는 사이에 갑자기 터질 수도 있고 그러면 정말 위험합니다또한 앞으로 살아가시면서 머리에 큰 충격을 받으시면 증상이 없어도 병원에서 진료를 받아보세요
눈밑 주름 없애려고 합니다ㅠ 사진 처럼 눈밑 자글자글 주름이 아니라 선이 딱 잡혀있어요ㅠ 저 주름좀 없애고,눈밑 주름 없애려고 합니다ㅠ사진 처럼 눈밑 자글자글 주름이 아니라선이 딱 잡혀있어요ㅠ저 주름좀 없애고 싶은데요 어느 병원을 가야하며어떤 시술? 수술을 해야 하나요ㅠㅠ제 발알려주세요!ㅠ,내려다 보면 저렇게 생기는건가요? 눈밑은 필러나 하안검수술로 해결 할 수 있어요정면을 봤을때도 저렇게 주름이 심하시면 성형외과 방문해보시는게 좋을것 같네요
눈밑 주름 없애려고 합니다ㅠ 사진 처럼 눈밑 자글자글 주름이 아니라 선이 딱 잡혀있어요ㅠ 저 주름좀 없애고,눈밑 주름 없애려고 합니다ㅠ사진 처럼 눈밑 자글자글 주름이 아니라선이 딱 잡혀있어요ㅠ저 주름좀 없애고 싶은데요 어느 병원을 가야하며어떤 시술? 수술을 해야 하나요ㅠㅠ제 발알려주세요!ㅠ,애교살같은데요? 이걸 왜없애실려고해요?이거 돈주고 맞으니는분들도 많아요~어려보이실려고! 이쁘세요! 스트레스받지마세요
