제목,질문,답변,https://kin.naver.com/search/list.nhn?query=어떤+병원+-동물+-성형+-강아지+-피부과+-개인회생+-인테리어+-진로+-커리큘럼+-자동차+-도서+-보험+-교통+-차+-간호학과+-학과&sort=date&period=2018.07.07.|2018.07.11.&section=kin&page=1
헬리콥터가 저희 아파트단지 근처쪽에서 엄청낮게날던데,어제 저녁쯤에 어떤 헬리콥터가 거의 아파트랑 비슷한높이로 날아다니고있던데 아니 사람이 이렇게 많이사는곳에서 저래도 되는건가요?,"**특별한 경우.. 즉 비상 상태 등이 아리라면 항공기 - 헬기 등도 비행고도, 소음 등에 대한 규정이 있습니다.그 규정이 맞다 하더라도 저공비행으로 주민 생활에 자주- 지속적으로 악영향을 끼치면 관계기관등에 민원을 제기 할 수 있고 대책을 요구할 수 있습니다.절대 정상적인 것은 아닙니다.그러나 특별한 이유가 있다면 그 이유를 사전에 관공서, 지자체 등에 통보 의무도 있습니다.~!@참고하시고.의문점, 궁금한 점은 추가 질문으로 올리세요."
헬리콥터가 저희 아파트단지 근처쪽에서 엄청낮게날던데,어제 저녁쯤에 어떤 헬리콥터가 거의 아파트랑 비슷한높이로 날아다니고있던데 아니 사람이 이렇게 많이사는곳에서 저래도 되는건가요?,네. 그래도 됩니다.헬리콥터가 아파트 높이와 비슷한 높이로 날아다니면 사고가 날 확률이 높죠.그런데도 그런 높이로 날아다녔다면 그만한 이유가 있을 것이고 헬기를 조종하는 분들이 일부러 쓸데없이 하릴없이 사고 위험이 높은데도 그런 높이로 날아다닌건 아닐겁니다.우리가 알지 못하는 타당한 이유가 있어서 그랬을 가능성이 높지요.산업현장에서 쓰이는 헬리콥터도 있고 농업용 헬리콥터도 있지만 우리나라에서 사용되는 헬리콥터중에서는 구조용 헬리콥터나 소방용 헬리콥터도 있습니다.그래서 어디 먼 섬에서 사람이 많이 아파서 육지로 가야 하는데 배도 끊긴 시간이고 당장 안가면 죽을 상황이라 헬리콥터를 보내서 싣고 오기도 하고 산에 등산 갔던 사람들이 다리가 똑 부러지거나 대가리가 깨지면 걸어 내려올수가 없으니까 헬리콥터로 실어다가 병원에 데려다주기도 하죠.그런데 황당한건 사람 구하러 헬리콥터가 산에 갔는데 산에 놀러온 사람들이 헬리콥터 바람 때문에 먹던 김밥에 모래나 흙이 들어갔다고 민원을 제기한다는 겁니다.더 황당한건 자기 집 옆에 소방서가 들어서면 사이렌 소리가 시끄럽다며 소방서 들어오는걸 반대하는 거죠.그런 인간들 집은 홀라당 다 타버렸으면 좋겠습니다.
회전근 손상에 대한 회복방법에 대해 여쭤봅니다,오른쪽 어깨에 찌르는듯한 통증이 있고 한 4개월지났습니다 처음엔 그러려니 했는데 전혀 나아지질 않고 한결같은 통증이어서 병원에 가서 CT를 촬영해보니정확하진 않지만 회전근 중에 극상근이라는 곳의 인대가 살짝 찢어졋거나 염증이 일어난거 같다고하면서 물리치료와 주사를 맞았었습니다치료를 한 한달정도 해야 한다 했지만 첫 주만 3회 받고 안갔었습니다이유는 전혀 나아지지 않는 통증으로 인해서 그러는데정확하게 검사와 치료를 받으려면 어디로 가서 무슨 검사를 받고 어떤 치료를 받아야 하나요?이게 나아지겠지 하고 있다보니 운동은 커녕 일상생활에서 가벼운 물건을 들거나 할때도 오른손만부들부들 약간 떱니다못드는건 아닌데 10키로정도 들정도면 왼손보다 더 빨리 힘이 빠지는거 같고 계속 약간의 진동일어나듯 부르르 떱니다그리고 통증이 쎄게 오는 자세는 두팔을 위로 올려 귀에 붙였을 때 심합니다아니면 두팔을 위로 올려 등쪽으로 제낄때 더욱 쎄게 옵니다이런 통증이 오기전엔 양쪽 어깨에 40키로 들고 4층계단까진 무난하게 올라갈 정도였습니다,한의원에 가서 침맞으세요.
발목 뻐근함 현상..,왼쪽 발목이 뻐근해요익숙해져서 방치한지 한 2년은 된 것 같습니다.생활하기에 통증은 없어서 큰 지장이 없거든요근데 엄청 뻐근합니다발목 돌려서 두둑 소리 내고 싶은 느낌?근데 아무리 돌려도 시원해지지 않고 그대로에요다른 현상은 문지방 같은거 왼발로 밟으면발바닥 움찔하는 정도의 통증있구요발목+발바닥이 무슨 문제가 있나 싶네요MRI 같은거 찍어봐야 하나요?,"왼쪽 발목이 뻐근해요익숙해져서 방치한지 한 2년은 된 것 같습니다.생활하기에 통증은 없어서 큰 지장이 없거든요근데 엄청 뻐근합니다발목 돌려서 두둑 소리 내고 싶은 느낌?근데 아무리 돌려도 시원해지지 않고 그대로에요다른 현상은 문지방 같은거 왼발로 밟으면발바닥 움찔하는 정도의 통증있구요발목+발바닥이 무슨 문제가 있나 싶네요MRI 같은거 찍어봐야 하나요?발목충돌 증후군이 있을 수 있습니다.예전에 염좌를 겪은 적이 있다면 만성발목불안증이나 충돌증후군으로 그런 불편이 생깁니다.발목충돌증후군이란 발목의 족배굴곡(발 끝을 올리는 동작)또는 족저굴곡(발 끝을 내리는 동작) 시에 발목의 전방 또는 후방 구조물의 충돌에 의해 발목 앞쪽 또는 뒤쪽에 통증이 생기는걸 말 합니다.발목 통증의 많은 경우가 염좌나 인대 손상으로 생기는데 발목염증은 MRI상에서도 판별이 거의 안됨으로,환자는 아픈데 병원에선 별 이상이 없다고 하는 경우가 많습니다.해당 부위를 꽉 누르고 아픈 반응이 있으면, 발목근육, 힘줄, 신경, 연골 등에 염증이 있는 것으로 보면 됩니다.발목 염증을 없애려면, 발목에 반복적으로 가해지는 엄청난 충격을 완화하고,염증부위를 지속적으로 마사지하여 모세혈관을 통해 혈류량을 높이면대부분 완치되고, 극히 필요한 경우만, 진통소염제 처방을 병행하면 됩니다.발목 또는 발목주변이 아픈 경우, 발목관절염이라는 진단을 받게 됩니다.발목관절염은 난치성 질환으로 진통소염제, 체외충격파, 물리치료, 깔창처방 등이 있으나이는 일시적으로 통증을 완화시키는 데는 도움을 줄 수가 있지만빈번한 재발(발목불안정증)을 근본적으로 막지는 못하고 있습니다.늘 서서 일하고 걷고 해야 하기 때문에 쉬운 말로 하면 발목관절염이 나을 짬이 없습니다.서서 일하고 걷고 하면서 자연 치유되도록 도움 주는 방법은 염증이 있는 발목인대 등이더 늘어나거나, 뒤틀리거나, 튕기거나 하는 것을 제한하면서 발목을 충분히 마사지하여혈류량을 높여 주어서 자연치유 되도록 하는 것이 최선의 방법입니다.불편하면 정형외과 진료를 받아 보는게 좋을거 같습니다. 관련 전문의 의견을 모아서 링크를 해 드렸었는데 네이버가 그런건지 누가 신고를 해서 그런건지 흥보성 글이라고 답을 삭제해서 추가로 링크를 못해드립니다. 발목 관절 설명      발목 관절 관련       발목터널증후군 관련    족부 족관절 골절 염좌 설명        염좌 관련    염좌와 좌상 어떤 차이 있을까을 아래 카페나 인터넷에서 찾아서 읽어 보세요."
제가 신검을 받았는데 척추분리증으로 인해 4급이 나왔습니다 척추분리증은 뼈2개가 이상일때 공익이라하던데 맞는 소리인가요?그럼 1개는 현역가능한가요?그리고 근처 정형외과에서 군대갈수있다라는 판정을 받으면 다시 재검 받으면되나요??,압구정 60대 중반/여 하지정맥류병원 시어머니 다리가 불편하신지가 좀 되셨는데 종아리 뒷쪽으로 혈관도 보이셔서 하지정맥류 병원을 가봐야 할거 같은데 어떤병원이...,2개분절 이상이 공익입니다이 질환의 경우 재검을 받아도 똑같기때문에 현역은 가지 못합니다
제가 신검을 받았는데 척추분리증으로 인해 4급이 나왔습니다 척추분리증은 뼈2개가 이상일때 공익이라하던데 맞는 소리인가요?그럼 1개는 현역가능한가요?그리고 근처 정형외과에서 군대갈수있다라는 판정을 받으면 다시 재검 받으면되나요??,압구정 60대 중반/여 하지정맥류병원 시어머니 다리가 불편하신지가 좀 되셨는데 종아리 뒷쪽으로 혈관도 보이셔서 하지정맥류 병원을 가봐야 할거 같은데 어떤병원이...,"척추분리증은 2개 분절 이상이 이완 되어 있으면 4급 판정을 받게 규정 되어 있고, 1개 분절이완은 현역병 판정을 받게 됩니다.그리고 대한민국 어떤 병원에서도, 님 본인이 군대 갈 수 있다 없다에 대한 판정을 내릴 수없습니다.단지, 님의 질병 상태에 대한 진단 소견만 내릴 뿐 입니다.따라서 님의 척추 분리증이 치료를 받아 정상적인 상태가 되면, 병원에서는 님의 현재 상태에대한 병무용 진단서만 발급 할 뿐 이고, 이 진단서를 지참하고 병무청 재검에서 현역병 판정을받으면 현역병 입영이 가능 합니다.즉, 님의 척추분리증에 대한 변동이 없으면, 재검 받아도 결과는 마찬가지 라는 것 입니다."
카페인 부작용 같아서 디카페인 음료를 마시는데요특히 밀크티를 자주 마시는데요오늘 평소처럼 밀크티를 마셨는데 커피를 마셨을때처럼 가슴이 두근거리고 속이 매우 울렁거리고 머리가 어지럽고(약간 정신사납다해야하나 술마시고 취했을때처럼 그래요) 시간이 지나면 몸에 힘이 쭉 빠지는 것 같고 화장실에 자주 가게되고 가고싶고 그러더라구요 제가 술을 마시면 얼굴이 빨개지는 타입인데어제 술마시고 오늘도 맥주 반잔 마시고 밀크티 마신건데술때문인지 커피때문인지 밀크티때문인지 모르겠습니다며칠전엔 말차라떼를 마셨는데도 위의 증상이 나타나더라구요 왜 이런지ㅠㅠ 이유 좀 알려주세요 커피를 피하면 괜찮구나 싶었는데 커피가 안들어간 음료를 마셔도 이러니까 어떤걸 피해야할지 감이 안옵니다,압구정 60대 중반/여 하지정맥류병원 시어머니 다리가 불편하신지가 좀 되셨는데 종아리 뒷쪽으로 혈관도 보이셔서 하지정맥류 병원을 가봐야 할거 같은데 어떤병원이...,"우선 카페인은 커피, 과라나, 콜라, 카카오 열매나 마테차·녹차·홍차 잎 등 약 60가지 식물에 들어 있는, 식물이 해충으로부터 자신을 보호하기 위해 분비하는 물질입니다.이러한 카페이은 일시적으로 정신을 맑게 하고 기억력·집중력·지구력 등을 높이기도 해, 커피나 에너지드링크 형태로 많이 섭취하기도 합니다.그러나 커피, 에너지 드링크 이외에도 콜라, 카카오, 마테, 녹차, 홍차등을 활용한 식품에는 모두 카페인이 함유되어 있다고 보시면 됩니다. 또한 카페인은 개인마다 민감도가 많이 다릅니다. 민감도가 많이 낮으신 분들은 자기전에 커피를 마셔도 자는데 별 문제가 없는 사람도 있고, 많이 민감하신 분들은 콜라만 마셔도 잠을 못주무시는 분들이 있습니다.콜라 1캔에는 23mg의 카페인이, 그리고 아메리카노 한잔에는 평균 125mg, 커피믹스 69mg, 캔커피 70mg, 많이 판매되는 에너지 드링크는 일반적으로 60~100mg, 녹차 15mg(티백 1개 기준), 다크초콜릿에는 30g 당 20mg, 밀크 초콜릿에는 30g 당 16mg 가량, 녹차 맛 아이스크림의 경우 100g 당 약 100mg의 카페인이 함유되어 있다고 합니다. 질문자님의 경우 카페인에 많이 민감하신 것 같으나, 그래도 먼저 전문의의 상담을 먼저 받아보시고, 특이 사항이 없으시면, 위와 같이 카페인이 함유된 식품을 주의하시는게 좋을 것 같습니다.끝으로  카페인은 섭취 권고량 이하로 섭취하는게 무엇보다도 중요합니다.  식품의약품안전처가 권장하는 1일 카페인 최대 섭취량은 성인 400mg, 임산부 300mg, 어린이 및 청소년은 1kg 당 2,5mg 이하이오니 참고하시기 바랍니다."
카페인 부작용 같아서 디카페인 음료를 마시는데요특히 밀크티를 자주 마시는데요오늘 평소처럼 밀크티를 마셨는데 커피를 마셨을때처럼 가슴이 두근거리고 속이 매우 울렁거리고 머리가 어지럽고(약간 정신사납다해야하나 술마시고 취했을때처럼 그래요) 시간이 지나면 몸에 힘이 쭉 빠지는 것 같고 화장실에 자주 가게되고 가고싶고 그러더라구요 제가 술을 마시면 얼굴이 빨개지는 타입인데어제 술마시고 오늘도 맥주 반잔 마시고 밀크티 마신건데술때문인지 커피때문인지 밀크티때문인지 모르겠습니다며칠전엔 말차라떼를 마셨는데도 위의 증상이 나타나더라구요 왜 이런지ㅠㅠ 이유 좀 알려주세요 커피를 피하면 괜찮구나 싶었는데 커피가 안들어간 음료를 마셔도 이러니까 어떤걸 피해야할지 감이 안옵니다,압구정 60대 중반/여 하지정맥류병원 시어머니 다리가 불편하신지가 좀 되셨는데 종아리 뒷쪽으로 혈관도 보이셔서 하지정맥류 병원을 가봐야 할거 같은데 어떤병원이...,병원진단을 받아보심이 좋을듯 합니다. 음료에 원인을 찾기보다 몸상태를 먼저 확인해보심이 좋을듯...
카페인 부작용 같아서 디카페인 음료를 마시는데요특히 밀크티를 자주 마시는데요오늘 평소처럼 밀크티를 마셨는데 커피를 마셨을때처럼 가슴이 두근거리고 속이 매우 울렁거리고 머리가 어지럽고(약간 정신사납다해야하나 술마시고 취했을때처럼 그래요) 시간이 지나면 몸에 힘이 쭉 빠지는 것 같고 화장실에 자주 가게되고 가고싶고 그러더라구요 제가 술을 마시면 얼굴이 빨개지는 타입인데어제 술마시고 오늘도 맥주 반잔 마시고 밀크티 마신건데술때문인지 커피때문인지 밀크티때문인지 모르겠습니다며칠전엔 말차라떼를 마셨는데도 위의 증상이 나타나더라구요 왜 이런지ㅠㅠ 이유 좀 알려주세요 커피를 피하면 괜찮구나 싶었는데 커피가 안들어간 음료를 마셔도 이러니까 어떤걸 피해야할지 감이 안옵니다,압구정 60대 중반/여 하지정맥류병원 시어머니 다리가 불편하신지가 좀 되셨는데 종아리 뒷쪽으로 혈관도 보이셔서 하지정맥류 병원을 가봐야 할거 같은데 어떤병원이...,"저와 증상이 비슷하네요. 전 커피를 마시면 님과 같은 증상이 나타나죠.전 녹차도 안마셔요.마시는 차로는 루이보스,엘더플라워가 블랜딩된 건조과일을 마셔요.방법없어요. 몸에 맞지 않는건 안마셔야해요.소량의 카페인도 피하는거죠.전 토닥토닥워터 건조과일과 허브티를 마시는데자신에게 맞는 차를 찾으세요.스트레스 많이 받지 마시구요.."
카페인 부작용 같아서 디카페인 음료를 마시는데요특히 밀크티를 자주 마시는데요오늘 평소처럼 밀크티를 마셨는데 커피를 마셨을때처럼 가슴이 두근거리고 속이 매우 울렁거리고 머리가 어지럽고(약간 정신사납다해야하나 술마시고 취했을때처럼 그래요) 시간이 지나면 몸에 힘이 쭉 빠지는 것 같고 화장실에 자주 가게되고 가고싶고 그러더라구요 제가 술을 마시면 얼굴이 빨개지는 타입인데어제 술마시고 오늘도 맥주 반잔 마시고 밀크티 마신건데술때문인지 커피때문인지 밀크티때문인지 모르겠습니다며칠전엔 말차라떼를 마셨는데도 위의 증상이 나타나더라구요 왜 이런지ㅠㅠ 이유 좀 알려주세요 커피를 피하면 괜찮구나 싶었는데 커피가 안들어간 음료를 마셔도 이러니까 어떤걸 피해야할지 감이 안옵니다,압구정 60대 중반/여 하지정맥류병원 시어머니 다리가 불편하신지가 좀 되셨는데 종아리 뒷쪽으로 혈관도 보이셔서 하지정맥류 병원을 가봐야 할거 같은데 어떤병원이...,"밀크티 = 홍차+우유 = 카페인+우유말차 = 녹차 = 카페인즉 드시던 음료들이 디카페인 음료가 아닌 카페인 음료예요,,윗 답변님처럼 카페인이 완전 배제된 건조과일 차, 생과일 차 또는 에이드 등을 마시세요.저도 카페인에 민감+저혈압이 있지만 잠을 깨려고 커피를 거의 매일 마시긴 합니다.카페에서 커피류를 시킬 땐 꼭! 연하게 해달라고 주문을 하구요 (일반 커피류에 샷2개가 들어간다고 하면 전 1개만 넣어달라고 합니다) 편의점에서 파는 커피류는 모두 고카페인 함유라고 써있어서 전혀 못먹습니다ㅠㅠ앞서 말한 저혈압으로 컨디션이 진짜 안좋은 시기엔 초콜렛(=카페인)도 일절 안먹도록 조심합니다.*** 결론 : 커피에만 카페인이 들은게 아님"
쌍꺼풀 붓기,작년 7월에 쌍꺼풀 절개수술한 남성입니다. 1년이 지났는데 붓기가 빠졌는지 모르겠습니다.눈 뜰때 좀 불편한데 문제있나요?,1년정도 경과 되셨는데도불편함을 느끼신다면...시술받으신 병원을 찾아가시는게 가장 정확합니다.쌍꺼풀이 불편함을 느낄만한 건 아닌데절개수술은 딱히 부작용 사례도 없구요..눈뜰때 불편하시다는게 정확히 어떤증상인지..글로는 설명이 안되네요병원을 내방해보시길 권장합니다.편한게 우선이니깐요..
