제목,질문,답변,https://kin.naver.com/search/list.nhn?query=어떤+병원+-동물+-성형+-강아지+-피부과+-개인회생+-인테리어+-진로+-커리큘럼+-자동차+-도서+-보험+-교통+-차+-간호학과+-학과&sort=date&period=2021.04.02.|2021.04.06.&section=kin&page=1
외국인 간호조무사,본론부터 말할게요저는 한국에서 10년간 거주한 외국인입니다.간호조무사 자격증을 따고 병원에서 근무를 하려고하는데외국인이다보니 이래저래 복잡하더라구요.출입국사무소에서도 간호조무사 자격증가지고는 병원근무를 할 수 없다고하고..1.외국인은 간호조무사 자격증가지고 병원근무가 안되나요?2.된다고하면 어떤방법이 있습니까?,"해외에서 학교를 다니셨다면 ​고등학교나 대학교 졸업 증명서를 인증하셔서 가져오셔도 됩니다!​​법무 법인이나 공증 사무소,  법률사무소 혹은 행정 사무소로​학력을 증명하는 서류만 내시면 법 절차를 거쳐서 살았던 국가의​대한민국 영사관에 방문하셔서 다시 신청하시면 되겠습니다 !​​​여행사 같은데서도 대리 절차를 가끔 진행한다고 하기 때문에​문의를 하셔도 될 것 같네요!​​​국적에 따라 상이할 수 있습니다 ​​또한 외국인이면 간호조무사 자격증을 가지고 근무하시려면 ​우선 워킹 비자가 필요하시기 때문에 우선 발급받으시는​절차를 거쳐야 합니다​​우선 한국에서 장기취업을 하시려면 E계열의 비자를​발급받으시는 절차를 거치셔야 하실 텐데요​E-7 비자인 특정활동비자를 목표로 하셔야합니다!​​E-7 비자의 발급 조건은 희망하는 직종 분야 석사이상의 학위​혹은 학사 이상 학위와 1년의 경력 혹은 직종 5년 이상의 경력이​필요합니다​​또한 외국인으로 학위를 취득하려면 우선​고등학교를 졸업한 학력이 있으셔야 하며 ​​★ 첫번째로 외국인 등록증이 필요하시고요​​★ 두번째는 출입국 사실증명서를 출입국관리 사무소에     가셔서 신청을 하신 뒤에 발급받으시면 되겠습니다​★ 세번째로는 초등학교에서 중학교와 고등학교까지의     성적증명서를 타국어로 되어있으면 한국어로 번역을     받은 뒤 행정사무소에서 공증을 받으시면 됩니다​★ 네번째로는 고등학교 학력인정 확인서를 받으셔야     하는데 거주지에 본인 국가의 영사관에 가셔서     학력원본에 도장을 받으셔야 합니다​따로 대학교를 졸업하신 경우,​★ 첫번째로 역시 외국인 등록증이 필요하고요 ​★ 두번째로는 출입국 사실증명서로 역시     출입국관리사무소에 가셔서 서류를      신청하시면 되고 출생일로부터 지금까지     일자가 등록된 걸로 신청하시면 되겠습니다​★ 세번째로는 대학교 졸업증명서나 성적증명서를     다른 언어로 되어있는 경우 한글로 번역 한 뒤     공증받으시면 되겠습니다​이렇게 서류를 준비하시면 됩니다​​출입국 업무를 주로 보는 행정사 사무소에 문의를​해보시면 더욱 자세한 정보를 얻으실 수 있습니다​​그러나 학사 학위가 없으실 경우 간호조무사로​근무를 하기 위한 E-7 비자를 발급받을 수 없는데요​​만약 학위를 한국대학에 나오지 않고도 받으실 수​있는 방법에 대해 흥미가 있으시면 아래 링크를​통해 메시지를 남겨주시기 바랍니다ㅎ​​              ★학점은행제 1:1무료 상담방★ #학점은행제 #학력개선 #사회복지사 #보육교사 #국가기술자격증 #산업기사 #대학원 #편입 #학습플래너 #평생교육원 #무료상담 #학위취득 open.kakao.com            ​",https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40610&docId=386489741&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin&rank=111&search_sort=3&spq=0
제 혈당 비정상인가용,14살 학생이고 혈당 공복에 재니까 104 나왔는데 비정상인가요?,정상입니다.병원마다 기준이 조금씩 다릅니다.어떤 곳은 100 이하가 정상이라고 하고 어떤 곳은 110 이하를 정상이라고 합니다.,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=708&docId=386489527&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin&rank=112&search_sort=3&spq=0
"다이어트 한약, 다이어트 한의원에 대해 궁금한 점이 있어요 (안산 고잔동 20대초반/남 다이어트한약)",다이어트 한약 / 다이어트 한의원에 대해 궁금한 점이 있습니다. 설명해주세요. - 다이어트 한약 효과 있는지? - 다이어트 한약이 효과 있다는 근거는 무엇인지? - 다이어트 한약이 효과 있다면 원리는 무엇인지? - 다이어트 한약 부작용은 없는지? - 다이어트 한의원에 가면 어떤 치료를 받는지?,"안녕하세요, 경기도한의사회 닥톡-네이버 지식iN 상담한의사 김현성입니다. 서울 홍익병원 연구팀의 연구 ‘체중감량 성공에 효과적인 체중감량요법 그리고 체중감량 성공과 정신건강 간의 상호관계분석(국민건강영양조사, 제7기 1차년도 자료분석)에 따르면, 체중감량을 시도한 2161명(남성 758명, 여성 1403명)을 대상으로 한 설문조사에서 8가지 체중 감량법(한약, 의사처방약, 식이요법, 건강기능식품, 결식, 단식, 운동, 원푸드다이어트) 중 다이어트 성공률 1위는 한약복용’이라는 조사결과가 있습니다. 그만큼 다이어트 한약으로 효과를 경험한 분들이 많다고도 볼 수 있는데요. 다이어트 한약은 어떤 효과가 있을까요? 다이어트의 기본원리는 식사량(input)을 줄이고, 운동량(output)를 높여 인풋과 아웃풋의 차이만큼 체중이 감량되는 것입니다. 다만 너무 안먹고 운동을 하면 오히려 건강을 해칠 수도 있기 때문에 균형있는 식사와 적절한 대사량확보가 필요합니다. 누구나 알지만 근무, 학업과 병행하는 경우가 많기 때문에 꾸준히 실천하기는 어렵다는 점이 문제인데요. 이 경우 다이어트 한약으로 도움을 받을 수 있습니다. 한약 다이어트는 기초 대사랑의 증가와 더불어 식욕억제에 효과가 있다고 과학적으로 입증되어 있습니다. 식욕억제를 통해 식사량(input)을 줄이고 대사량의 증가로 운동효과(output)를 높여 인풋과 아웃풋의 차이만큼 다이어트 효과를 보는 원리입니다. 포만중추에 쉽게 자극이 오지 않는 사람일수록, 포만중추가 둔감하게 반응해서 적정량 이상 과식하게 되면서 살이 찌기가 쉬운데요. 다이어트 한약은 빠르게 포만감을 느끼게 해주어 과식을 예방하고, 적정량을 먹는 건강한 습관을 형성하도록 돕습니다. 보통 다이어트 약하면 아래의 증상을 걱정하시는데요. 보통 두근거림, 수면불편감, 손떨림, 어지럼증 정도를 많이 호소하십니다. 대사가 항진되는 경우 어느 정도 두근거림 및 수면불편감이 발생할 수 있는데요. 대사량을 높이는 약의 농도를 조절하면 해소되는 증상으로, 내 몸에 맞게 약의 농도를 조절하여 처방을 하는 경우, 불편한 증상 없이 목표한 효과를 얻을 수 있습니다. 또한 다이어트를 열심히 하는 동안 손떨림, 기립성 현훈을 호소하는 분들도 계시는데요. 한약 복용과 관계없이 식사를 과하게 제한(input)한 상태에서 대사량이 증가(output)하여 당이 일시적으로 부족하게 될 때 나타나는 증상으로 적절한 식단 관리를 통해 해소할 수 있습니다. 한의원에서는 자세한 문진을 통해 환자분의 평소 몸상태(체질, 신체증상, 생활습관, 비만 타입 등)을 분석하여 체중증가의 원인을 파악하여 환자분의 특성에 맞게 다이어트 한약을 처방하게 됩니다. 또한 주기적인 상담을 통해 몸 상태를 파악하고 복용량 및 식단조절을 도와드리기 때문에 심리적인 지지를 받으며, 당시의 몸상태에 맞게 처방받아 보다 안전하게 감량하실 수 있습니다. 가까운 한의원에 내원하여 다이어트 상담 받아보시고, 성공적인 감량하시길 바랍니다. 감사합니다.※ 한의사 전문가의 예상 치료비, 할인 가능 여부, 편집된 답변 내용 등 추가 정보가 궁금하시면 아래 출처를 통해 확인할 수 있습니다.",https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70307&docId=458895925&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin&rank=113&search_sort=3&spq=0
이런 증상은 어디가 아플때 생기나요?,이마와 손이 차갑습니다. 식은땀이 나고 어지러워 주져 앉게 됩니다. 아침이라 빈속인데 답답합니다. 잠시 시간이 지나서 괜찮아 졌어요. 어떤 경우 생기는 증상인지 무얼조심 해야하는지 알고싶습니다.,일단 병원에 다녀오세요 별거 아닌것 같아도다녀오시는게 나을 거에요​,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70301&docId=386487006&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin&rank=121&search_sort=3&spq=0
베인상처 치료법,칼에 베였는데 파인상처가되었는데밴드붙이나요 메디폼붙이나요,소독은 하셨나요?어떤 것이든 상관 없으나 베인 상처가 깊으시면 병원에 가셔야합니다만약 그리 깊지 않으시다면 지열하시고 소독하시고 후시딘바르시고 밴드 붙이시고 며칠 지나면상처가 흉터지지 않게 마지막에는 마데카솔을 바르시면 됩니다,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70103&docId=386486767&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin&rank=122&search_sort=3&spq=0
무슨 뱀인가요?,모르고 가다가 밟아서 물렸는데 미국이라 응급실도 없고 ㅠㅠ 죽나요? 아직은 멀쩡해요 물린지 20분 지났어요,방울뱀의 일종이네요한국에 서식하는 종이 아니라 잘 모르겠지만독이 굉장히 센 녀석이에요증상이 나타나지 않은건 드라이바이트라고 해서 물렸지만 독이 주입되진 않은 걸수도 있어요그러길 바라며병원은 무조건 가세요움직임은 최소화하시고 물포함 어떤것도 드시지 마시고상처부위를 심장보다 높이 올리지 마시고 반지같이 몸에 조이는 걸 빼시고 이 외엔 아무 조치하지 마시고 병원으로 가세요,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70122&docId=386486526&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin&rank=123&search_sort=3&spq=0
무슨 뱀인가요?,모르고 가다가 밟아서 물렸는데 미국이라 응급실도 없고 ㅠㅠ 죽나요? 아직은 멀쩡해요 물린지 20분 지났어요,방울뱀 엄청 치명적인 독사뱀입니다병원 빨리 가보세요
무슨 뱀인가요?,모르고 가다가 밟아서 물렸는데 미국이라 응급실도 없고 ㅠㅠ 죽나요? 아직은 멀쩡해요 물린지 20분 지났어요,병원 빨리 가보세요ㅠㅠ
치과 임플란트 가격이..,임플란트를 3개정도 해야할거같아서요하나는 발치한지 되었고 두개는 다썩어서 뿌리밖에 없어서요 발치후 임플란트 해야될거같은데 ..1. 임플란트는 갯수당 금액음 받나요?2. 비용은 얼마정도 들까요?3. 치료기간은 길까요?빠른답변 부탁드립니다,"임플란트는 갯수당 금액을 받구요,임플란트 가격의 경우 보통 국산 오스템 기준 100~130만원 정도 합니다. 그리고 치과의 경우....기본적으로 치과 여러군데를 다니시면 눈탱이 당할일은 없을겁니다.괜찮은 치과를 고르는 방법은 후기나 평점을 확인하면 되는데요,평균적인 가격을 알고, 치과 후기도 알 수 있는 방법을 아래 링크로 남겨놓을테니 참고바랍니다. ​▶ http://m.site.naver.com/0LyPU​치료기간은 보통 4~6개월 정도 걸립니다.​채택 부탁드립니다 ^^​​",https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70202&docId=386486454&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin&rank=124&search_sort=3&spq=0
치과 임플란트 가격이..,임플란트를 3개정도 해야할거같아서요하나는 발치한지 되었고 두개는 다썩어서 뿌리밖에 없어서요 발치후 임플란트 해야될거같은데 ..1. 임플란트는 갯수당 금액음 받나요?2. 비용은 얼마정도 들까요?3. 치료기간은 길까요?빠른답변 부탁드립니다,"어금니염증이 심하지 않고, 어금니발치해야 하지만, 어금니가 아직 뿌리가 남아있는 경우라면,뿌리를 제거하는 당일 발치 (즉시임플란트)를 추천드립니다.기존에는 치아를 빼고 서너 달 기다리고 난 후, 다시 임플란트 수술을 하는 데요.                    발치하자마자 바로 임플란트를 하는 (원데이임플란트)가 추천됩니다.임플란트뼈이식 수술은 동시에 하게 됩니다. 발치즉시임플란트는 기존 방법보다 대략 6개월 빠를 수도 있습니다. (임플란트기간)은  총 4개월 정도이면 최종 완성되기도 합니다. ​​                    연세화이트산타치과입니다.​​임플란트통증 하면 젊은 분이시나 연세든 분이시나 누구나 다 무섭고 두려운 것이 먼저인 것 같습니다.​치과는 너무 무서워요! 치과공포증 줄여드리는 수면치과치료​'치과'라고 하면 어떤 이미지가 떠오르시나요? 통증, 두려움, 공포​이러한 치과 치료의 고통을 덜어줄 방법이 있죠,바로 수면치과치료입니다.일명 (치과수면치료) 혹은 (수면임플란트) 방법이 있습니다.​울산, 창원, 강릉, 제주, 대전, 이천 등등 에서도(수면임플란트)하러 오십니다 ~​​(어금니임플란트 가격)은 어떻게 할까요?              수면치료 | 분당치과 연세화이트산타치과의원 수면치료란 수면치료의 장점 수면치료의 종류 수면치료가 가능한 치료 수면치료가 필요하신분 수면치료의 과정 수면치료 전 준비사항 수면치료 후 주의사항 white-santa.com            ​(수면임플란트)로 (원데이임플란트) 수술 어떻게 하나요?                 ​"
치과 임플란트 가격이..,임플란트를 3개정도 해야할거같아서요하나는 발치한지 되었고 두개는 다썩어서 뿌리밖에 없어서요 발치후 임플란트 해야될거같은데 ..1. 임플란트는 갯수당 금액음 받나요?2. 비용은 얼마정도 들까요?3. 치료기간은 길까요?빠른답변 부탁드립니다,"임플란트가격은 치과마다 설명하는 기준이 다르기때문에, 임플란트수술을 해야 한다면 여러곳의 치과를 직접 방문하여 견적을 받고, 치과의사의 경력과 무상보증기간 등을 꼼꼼히 비교한 후에 결정해야 합니다.​잇몸이 약할 경우 뼈이식수술을 해야 하고, 윗 어금니의 잇몸이 부족하면 상악동거상술이라는 까다로운 수술이 추가되기도 합니다. 또한 수술에 사용하는 임플란트 종류에 따라서 가격이 다르고, 최종 보철물을 어떤 것으로 해야 하느냐에 따라서 달라지기때문에 상담하실 때에 항목별로 정리를 하시는 것이 좋습니다.​임플란트수술이 간단해 보이지만, 치료과정중에 실수로 인해 안좋은 수술 결과를 불러 올 수 있습니다.그래서 임플란트수술을 집도하는 의료진의 수술 경험을 비교한 후에 결정하는 것이 좋습니다​​저희 치과는 임플란트 수술 경험이 10년이상이 넘는 풍부한 경험의 원장님께서 수술을 하시기때문에 안심하실 수 있습니다.​■ 오스템임플란트 연구자문치과■ 3D CT를 이용한 정밀 진단■ 구강악안면외과 전문의■ 고려대학교 안암병원 구강악안면외과 레지던트 수련■ 고려대학교 병원 임플란트 센터 담당의■ 임플란트 임상수술경험 10년이상 ■ 무상보증기간 5년(임플란트 픽스쳐)​■ 지르코니아 BA프리미엄 임플란트(오스템) 75만원■ 네비게이션 지르코니아 BA임플란트(오스템) 85만원■ 지르코니아 임플란트틀니(오스템) 300만원■ 뼈이식수술 30만원​※ 2021년 4월 30일(금요일)까지​​그리고 수술 후 임플란트에 문제가 생길경우 무상 보증 기간을 얼마나 많이 보장해주는지 확인해야 합니다.​저희 치과에서는 임플란트 수술 후 5년 동안 무상보증제도(임플란트 픽스쳐)를 운영하고 있어 많은 분들의 관심을 받고 있는데요.​일반적인 치과에서는 보통 2~3년 정도의 무상보증제도를 운영하고 있는 것에 비해서 5년 동안 무상으로 보증(임플란트 픽스쳐)한다는 것은 그만큼 수술 결과에 자신이 있기때문이 아닐까요?​역삼역 3번 출구에 있는 저희 치과에서 임플란트를 한다면 70만원 대의 파격적인 가격으로 부작용 걱정없이 안전하게 수술을 받을 수 있습니다.​직접 방문하시어 상담을 받는다면 보다 쉽고 정확하게 이해하실 수 있습니다.​<출처>역삼역 스카이치과 http://www.skydental.kr/ev/ev190408.htm"
치과 임플란트 가격이..,임플란트를 3개정도 해야할거같아서요하나는 발치한지 되었고 두개는 다썩어서 뿌리밖에 없어서요 발치후 임플란트 해야될거같은데 ..1. 임플란트는 갯수당 금액음 받나요?2. 비용은 얼마정도 들까요?3. 치료기간은 길까요?빠른답변 부탁드립니다,"임플란트 식립하는 갯수를 기준으로 하고, 치료 기간은 잇몸 상태에 따라서 달라집니다.건강한 잇몸상태라면 3~4개월, 잇몸뼈이식을 해야 될 정도라면 5~6개월 정도 걸릴 수 있습니다.​​저희 치과의 임플란트 수술을 담당하는 대표원장님께서는 서울대학교 치과대학 출신의 치의학 박사님으로 30년 경력과 2만건 이상의 수술 횟수를 자랑하고 있으니 안심하셔도 됩니다.특히 저희 치과에서는 발치 후 바로 임플란트를 식립하는 원데이임플란트를 진행하고 있어서, 치료기간이 짧다는 장점이 있습니다.​​임플란트수술 부위에 부분마취를 하기때문에 통증을 느끼지 못합니다.다만, 수술이 끝나면서 마취가 서서히 풀리게 되는데, 이때 조금 욱씬거릴 수 있습니다.이때 처방해 드린 약을 드시면 괜찮아집니다.​​임플란트 수술 후에는 관리가 중요합니다.6개월에서 1년에 한번씩 치과에 가서 수술한 부분에 이상이 없는지 점검을 받는 것이 좋습니다.단, 무언가 교체하거나 그렇지는 않습니다.관리하는데 특별한 것은 없으니 걱정하지 마세요.​​1. 서울대학교 치과대학 졸업2.구강악안면외과 임플란트학전공 의학박사3.강동성심병원 임상자문교수4. 30년 경력의 임플란트 노하우5. 임플란트 2만건 이상의 수술 경력6. 수면마취 임플란트로 자면서 편안하게 수술 가능7. 3D CT를 활용한 정확한 진단(VATECH PAX-i3D)8. 3D 구강스캐너로 간편한 진료(CEREC SYSTEM)9. 자체 기공소 운영으로 정교한 보철물 제작10. 공정거래위원회 표준 약관 채택​​많은 분들이 임플란트 경험이 많은 치과에서 수술 받는 것을 부담스러워 합니다.임플란트수술 경험이 많은 치과는 비쌀 것 같다는 생각 때문입니다.그래서 저희 치과에서는 환자분들의 임플란트비용 부담을 줄여드리기 위해서, 한시적인 혜택을 드리고자 합니다.​​▶ 네오 임플란트 65만원▶ 오스템 임플란트 75만원▶ 뼈이식수술 20~30만원(크기에 따라 달라짐)▶ 네비게이션 임플란트 85만원▶ 임플란트틀니 아랫니 390만원 / 윗니 490만원▶ 전체임플란트(네오) 각각 680만원▶ 전체임플란트(오스템) 각각 760만원▶ 수면마취 임플란트​​강남역 10번 출구에서 1분 거리에 있는 저희 치과는 임플란트수술 뿐만 아니라, 치아교정/치아성형/일반진료까지 한번에 받을 수 있는 곳입니다.강남역에서 10년간 진료를 할 정도로 안정적인 치과로 사후 관리에 대해 걱정하지 않으셔도 됩니다.특히 치과 공포 때문에 치료를 미루고 있고, 치과 통증을 진통제로 참고 계시다면, 저희 치과의 수면마취 임플란트를 경험해 보십시오.자는 것 같이 편안한 임플란트수술을 기대할 수 있습니다.​​네이버 예약 https://booking.naver.com/booking/8/bizes/98004홈페이지 상세보기 http://wonjindental.com/main/implant_jisikin.html"
치과 임플란트 가격이..,임플란트를 3개정도 해야할거같아서요하나는 발치한지 되었고 두개는 다썩어서 뿌리밖에 없어서요 발치후 임플란트 해야될거같은데 ..1. 임플란트는 갯수당 금액음 받나요?2. 비용은 얼마정도 들까요?3. 치료기간은 길까요?빠른답변 부탁드립니다,"안녕하세요. 옥정신도시에 위치한 연세센터원치과입니다. ​임플란트는 자연치아를 상실한 후 그 부위를 대체하기 위한 치료방법 중 하나로,티타늄으로 만들어진 금속 나사의 형태를 가진 매식체와 치아모양의 크라운 부위로 이루어져 있는 치아의 대체물입니다.​치료기간은 개인의 잇몸 상태에 따라 달라질 수 있습니다.식립 전 잇몸상태가 좋지 않다면 식립이 가능하도록 선치료를 먼저 진행해야 하며,또 식립 후에도 금속 나사 형태의 매식체가 해당 치아 부위의 뼈와완전히 붙은 다음 상부 보철물을 올릴 수 있기 때문입니다. ​현재 1개는 이미 발치한 상태이고 나머지 2개도 발치가 필요하실 수 있는데요. 임플란트를 식립하려면 충분한 잇몸뼈가 남아 있어야 하며 발치 후 빠른 시간 내에 진행해야 합니다.특히 이미 발치가 된 부위는 시간이 지나면 지날수록 해당부위의 잇몸뼈가 소실될 수 있으므로너무 오랜 시간을 지체하지 않는 것이 좋겠습니다.​치료방법과 기간은 치과마다 담당의마다 제안하는 내용이 다를 수 있으니2~3곳에 내원하여 충분한 상담을 받으신 후 진행하실 것을 권유드립니다.​             연세센터원치과의원 경기도 양주시 회천남로 92 센타프라자 5층           ​"
영구치가 흔들려요,"안녕하세요 13살 여자아이입니다. 제가 왼쪽 앞니 두ㅣ쪽이 심하게 썻은 것 같은데 월요일부터 흔들리기 시작해요. 지금은 손으로 만지면 느,낄 수 있는 정도요 믈론 영구치죠. 근처 애들은 다 치과 가라고 그러는데 제가 치과를 가기 전에 할 수 있는 것 이 무엇이 있을까요?1.치과에 가면 어떤 치료를 해주나요?2.치료 강도는 어떤가요?3.임플란트를 해야 하나요?4.치과를 가기 전에 할 수 있는 조치는 무엇이 있을까요?5.일브러흔들리지 않으면 흔들림이 멈출까요?장확한 답변 브탁드립니다.",더이상 손 대지 말고 혀나 손으로 흔들지 마세요.하루 이틀 지켜봐도 흔들림이 멈추지 않으면 병원에 방문하세요.나이가 너무 어려서 임플란트는 불가능하고 되도록이면 지금 치아 살려서 쓰는 방향으로 진행할거에요.,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70205&docId=386485997&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin&rank=125&search_sort=3&spq=0
유학을 가게 되었는데 그냥 한국 이름을 쓸까요 따로 영어이름을 만들까요? 이름은 가은인데 발음하기 어려우려나요...,일산 60대 중반/남 간암요양병원 간암수술 하시고 집에 오셨는데 혼자 계시는게 마음에 걸려서 요양병원 알아보려고 하는데 요양병원 시설이나 어떤걸 알아봐야 할까요?...,이름은 식별자(identifier)로서 개체와 개체를 식별해 주는 기호이지 다른 아무런 의미가 없는 것입니다. 그래서 어느 나라 사람이든지 외국에 가도 자신의 본래 이름을 그냥 가지고 있는 것이 자신의 정체성(identity)를 가장 잘 나타내는 방법입니다. 여기서 정체성이란 나를 다른 사람과 구별해 주는 성질을 말합니다.​때로는 외국인들이 우리 나라에 와서 자신의 이름을 버리고 우리식 이름을 만들기도 하는데 그것은 자신의 정체성을 포기하고 우리 나라에 동화되기를 원한다는 의사표시이거나 아니면 우리 나라 연예계에 진출하는 등 국적이나 고향이 다른 나라라는 것이 활동에 장애가 될 때 그런 일을 하는 것입니다.​만일 유학을 가서 나중에 아주 그나라에 정착할 것이라면 그나라 식의 이름으로 바꾸는 것이 필요할 수도 있겠으나 단지 외국인들이 부르기 어렵다든가 해서 자신의 정체성을 포기하는 것은 아주 비굴한 자세로 꼭 그렇게 할 필요가 없습니다.​이름이 '가은'이라면 외국인들이 발음하기 어렵지 않은 이름입니다. 다만 alphabet으로 Gaeun이라고 쓰면 100% '개은'이라고 읽을 것입니다. 그것은 '가은'이 발음하기 어려워서가 아니라 영어는 accent가 있기 때문에 강세가 있는 a를 'ㅏ'가 아니라 'ㅐ'로 읽기 때문입니다.​그래서 어짜피 관공서나 병원 등에서는 지나갈 사람들이니까 '개은'으로 읽던지 다르게 읽던지 상관하지 말고 그런가 보다 하고  자신과 가까이 지내야 할 사람들에게는 자신의 이름이 '개은'이 아니고 '가은'이라고 알려주면 됩니다. 미국에서 대학을 다녀보면 대학교수 등 배운 사람들은 처음 보는 이름을 자신의 멋대로 절대 발음하지 않습니다. 어떻게 발음하느냐고 꼭 물어봅니다. 그들은 영어 앨퍼벳이 쓰인 대로 읽히지 않는다는 것을 알기 때문입니다.​그러므로 단지 유학이 목적이라면 우리 이름을 그대로 사용하는 것이 답입니다. 그리고 가능하면 영어식 별명도 만들지 않는 것이 좋습니다. 나중에 영어를 잘 하게 되고 나이를 먹게 되면 왜 그런지 알게 되고 이름이나 영어식 별명을 만드는 것이 자신이 누구라는 것을 희석시키는 것을 알게 되고 다 부질없는 짓이라는 것을 알게 됩니다. 예를 들어 가은 대신 Amy라고 영어식 이름을 만들게 되면 어떤 사람들은 자신을 '가은'으로 알고 있고 다른 사람들은 Amy로 알고 있으면 헷갈리는 것 이외에 별로 득이 없기 때문입니다.,https://kin.naver.com/qna/detail.naver?d1id=11&dirId=11080307&docId=386485872&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin&rank=126&search_sort=3&spq=0
유학을 가게 되었는데 그냥 한국 이름을 쓸까요 따로 영어이름을 만들까요? 이름은 가은인데 발음하기 어려우려나요...,일산 60대 중반/남 간암요양병원 간암수술 하시고 집에 오셨는데 혼자 계시는게 마음에 걸려서 요양병원 알아보려고 하는데 요양병원 시설이나 어떤걸 알아봐야 할까요?...,"아무래도 그 쪽에서 부르기에 편리한 이름을 하나 만드는 게 좋다고 봅니다.""가은"" 을 바로 쓰면 gun 과 비슷한 발음이어서 사람에 따라서는 총과 관련지을 수도있습니다. 우리 이름에 ""숙""이 들어가는 이름이 있는데 영어표기하면 suk 로 주로 쓰지요그런에 영어의 ""suck"" 이라는 단어와 관련지어 희화하는 경우가 있다고 합니다.suck 은 좋지않은 표현을 할 때 많이 쓰거든요. 글쎄요. 좋을 걸 어디서 찾아서 쓰세요.G로 시작하는 이름으로 Gwenn  또는 Gwen 이 있는데 가장 비슷하게 보이기도 하고. 여기에 들어가서 검색해보세요.  ​Gwen.   Gwenn 도 google에서 검색해보세요.​https://www.whattoexpect.com/baby-names/list/baby-girl-names-that-start-with-g/              Baby Girl Names That Start With G Baby Girl Names That Start With G Updated: December 11, 2018 Choosing a baby name can be a difficult decision. Below are some ideas for baby names that start with G based on data from the Social Security Administration. Top 100 Baby Girl Names That Start With G Grace Genesis Gabriella Gianna Genevie... www.whattoexpect.com            ​"
*급해요*임플란트 수술후 진통(추가내공100),임플란트 수술후 진통이너무심해서 잠못자고 끙끙댓습니다강도가 10 이최고라면 9정도의 아픔이에요 피도덩어리지고 야멈추는 느낌이고 진통제 링겔 맞고싶은데 아침에병원가려니 어디가야하는지모르겠어요 알려주세요 ㅠㅜㅜㅜㅜㅜㅜㅜㅜ,"임플란트 후 통증이 발생했다면?치과에서 처방된 약처방 지시에 따라 약 드시구요.그래도 통증이 있다면?소염진통제를 복용하세요.임플란트하고 당일 밤이 가장 많이 아파요.그럴때에는 처방된 약을 한 봉을 더 드셔도 되구요.처방된 약에 더 추가해서진통소염제로 타이레놀을 추천합니다.​타이레놀이 근처에 있다면낮은용량(500)인 경우에는 2알 정도높은 용량(1000)인 경우에는 1알 정도 드세요.​너무 아프면, 내과나 치과에서링거 수액 맞으시는 것을 추천합니다.​어금니염증이 심하지 않고, 어금니발치해야 하지만, 어금니가 아직 뿌리가 남아있는 경우라면,뿌리를 제거하는 당일 발치 (즉시임플란트)를 추천드립니다.기존에는 치아를 빼고 서너 달 기다리고 난 후, 다시 임플란트 수술을 하는 데요.                    발치하자마자 바로 임플란트를 하는 (원데이임플란트)가 추천됩니다.임플란트뼈이식 수술은 동시에 하게 됩니다. 발치즉시임플란트는 기존 방법보다 대략 6개월 빠를 수도 있습니다. (임플란트기간)은  총 4개월 정도이면 최종 완성되기도 합니다. ​​                    연세화이트산타치과입니다.​​임플란트통증 하면 젊은 분이시나 연세든 분이시나 누구나 다 무섭고 두려운 것이 먼저인 것 같습니다.​치과는 너무 무서워요! 치과공포증 줄여드리는 수면치과치료​'치과'라고 하면 어떤 이미지가 떠오르시나요? 통증, 두려움, 공포​이러한 치과 치료의 고통을 덜어줄 방법이 있죠,바로 수면치과치료입니다.일명 (치과수면치료) 혹은 (수면임플란트) 방법이 있습니다.​울산, 창원, 강릉, 제주, 대전, 이천 등등 에서도(수면임플란트)하러 오십니다 ~​​(어금니임플란트 가격)은 어떻게 할까요?              수면치료 | 분당치과 연세화이트산타치과의원 수면치료란 수면치료의 장점 수면치료의 종류 수면치료가 가능한 치료 수면치료가 필요하신분 수면치료의 과정 수면치료 전 준비사항 수면치료 후 주의사항 white-santa.com            ​(수면임플란트)로 (원데이임플란트) 수술 어떻게 하나요?                 ​",https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70202&docId=386484897&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin&rank=127&search_sort=3&spq=0
