담당자,부위,증상,질환명,진료과,TAG
박장훈,복부,"신생아의 98%는 출생 후 24시간 내에 짙은 녹색의 태변을 배설합니다. 아기의 항문이 정상적 으로 발달되어 있음에도 24시간이 지나도록 태변을 배설하지 못한다면 이것은 선천성 거대결장증을 의심할 수 있는 첫 번째 단서가 됩니다. 신생아 시기 이후에는 평소 배가 자주 불러오고 관장을 해야만 대변을 보는 만성 변비가 지속될 경우 이 병을 의심해볼 수 있습니다.
더불어 신생아나 이른 영아기에 담즙이 묻어 있는 구토, 팽창된 복부, 영양실조, 심한 변비, 장 막힘 등의 증상이 나타날 수 있고, 드물게는 소아와 청소년기에 잘 치료되지 않는 만성 변비로 인해 뒤늦게 진단되기도 합니다.",선천성 거대결장증,소아외과,"히르쉬스프룽병 ,선청성대장질환 ,거대결장 ,대장조영술검사"
박장훈,복부,"간에서 만들어진 담즙은 담도를 통해 소장으로 분비돼 소화를 돕는 데 사용됩니다. 그런데 담도가 막히면 담즙이 분비되지 못하고 간에 정체되면서 간 손상을 일으키고 간경변증으로 진행합니다.
담도폐쇄증의 가장 특징적인 증상은 태어난 지 한두 달밖에 안 된 어린 아기한테서 나타나는 황달과 회색빛 대변입니다. 그러나 신생아에서 황달은 아주 흔한 증상으로 모유 수유만 해도 나타나기 때문에 자칫 위험 신호를 놓치기가 쉽습니다. 따라서 기저귀에 묻어나는 아기의 변 색깔을 확인하는 것이 중요합니다. 아기한테 황달이 나타나고 대변 색깔이 황금색에서 회색이나 흰색으로 점차 창백해진다면 즉시 소아과나 소아외과 전문의를 찾아 담도폐쇄 여부를 확인해야 합니다.",담도폐쇄증,"소화기내과, 간담췌외과, 소아외과","담도, 담도폐쇄증 ,billiary atresia ,간경변증 ,간이식 ,담도조영술 ,카사이수술 ,회색변 ,신생아황달"
박장훈,복부,"조기 간암의 증상으로 피로감, 전신 쇠약감, 소화 불량, 상복부에 느껴지는 뻐근함, 체중 감소 등을 꼽을 수 있지만, 이런 증상으로 간암을 알아채기는 쉽지 않습니다. 암이 좀 더 진행되고 간 기능이 떨어지면 복수가 찬다거나 심한 체중 감소, 황달이 나타납니다.",간암,"간담췌외과, 방사선종양학과, 혈액종양내과, 소화기내과, 간암센터","피로감,  구토  ,복통  ,황달  ,메스꺼움  ,식욕부진  ,체중감소  ,AFP ,간세포암종의 악성 신생물  ,간암종  ,간세포암  ,간종양 ,간암 ,hepatoma ,HCC ,방사선치료 ,항암치료 ,간경변증"
박장훈,복부,"대표적인 증상으로는 복통, 설사, 체중 감소를 들 수 있습니다. 특히 10~20대 젊은 연령대에서 1~2개월 이상 배 아픔과 설사가 지속되면 크론병일 가능성을 의심해 봐야 합니다. 체중 감소는 앞의 두 증상의 결과이기도 한데, 배가 아프면서 설사가 잦아지는 탓에 몸무게가 줄어들게 됩니다. 소아, 청소년의 경우에는 성장에도 영향을 미쳐 키가 잘 자라지 않고, 사춘기가 늦어지기도 합니다. 이 밖에 미열이나 관절염, 포도막염, 신장 결석, 빈혈, 피부에 반점 등이 나타나기도 합니다.
특히 국내 환자들은 항문 근처에 구멍(누공)이 생기거나 염증이 발생해서 고름이 차는 농양이 생기는 경우가 많습니다. 이는 크론병이 발병한 후 합병증으로 나타나기도 하지만, 크론병의 다른 증상 없이 첫 증상으로 먼저 나타나기도 합니다.",크론병 Crohn disease,"소화기내과, 소아소화기영양과","복통  ,설사  ,식욕부진  ,체중감소  ,치루  ,장폐색 국소성 장염  ,궤양성 대장염  ,베체트병  ,염증성 장질환  ,과민성장증후군"
박장훈,복부,"비만은 체내 근육량에 비해 지방조직이 과다한 상태를 의미합니다. 대한비만학회에서는 신체질량지수(BMI)가 25kg/㎡ 이상이면 비만, 30kg/㎡ 이상이면 고도비만으로 규정합니다. 비만은 각종 암부터 당뇨병, 고혈압, 심뇌혈관질환을 비롯해 관절염, 수면무호흡증, 호흡기질환 등 여러 가지 심각한 합병증을 유발합니다.",고도비만 Severe obesity,"내분비내과, 가정의학과, 내분비당뇨병센터, 비만대사수술센터","빈혈, 속 쓰림  ,오심,  구토  ,복통  ,체중감소 ,위암개복수술 ,위암합병증 ,유전성위암 ,위내시경 ,EGC ,AGC ,헬리코박터  ,만성 위축성 위염  ,반지세포암  ,조기위암  ,위유암종  ,위-식도역류병  ,위의 악성 신생물"
박장훈,복부,"위벽의 상층부에만 발생한 위암을 조기 위암, 근육층이나 더 깊이 침범한 경우를 진행성 위암이라고 하는데, 거의 모든 조기 위암 환자는 증상이 없습니다. 간혹 소화불량으로 내시경검사를 하다가 위암을 발견한 환자들은 소화불량의 원인을 조기 위암으로 생각하는데, 이는 우연히 암이 발견된 것일 뿐 조기 위암 자체가 소화불량을 일으키는 경우는 없습니다.
이에 반해 진행성 위암의 경우, 수주에서 수개월 동안의 식욕 부진, 체중 감소, 위출혈, 검은색 변 등이 나타날 수 있습니다. 그러나 이러한 증상은 다른 병으로도 발생할 수 있기 때문에 증상만으로 위암을 진단하기는 어렵습니다.",위암 Stomach cancer,"위암센터, 방사선종양학과, 위장관외과, 혈액종양내과, 위장관외과, 혈액종양내과, 소화기내과,위식도암센터","빈혈,  속 쓰림,  오심,  구토,  복통,  체중감소, 위암개복수술, 위암합병증, 유전성위암, 위내시경, EGC, AGC, 헬리코박터,  만성 위축성 위염,  반지세포암,  조기위암,  위유암종,  위-식도역류병,  위의 악성 신생물"
박장훈,복부,"장중첩증의 결과로 장이 막히면서 여러 증상들이 나타나게 됩니다. 대표적인 증상은 복통, 구토, 설사입니다. 복통의 경우, 15~20분 정도 심한 통증이 나타났다 사라지는 형태로 나타납니다. 영유아들은 심한 복통으로 인해 무릎을 가슴 쪽으로 잡아당겨 다리를 붙이는 자세를 취합니다. 아이들의 경우 답즙이 섞인 초록색 구토가 나올 때까지 심한 구토가 반복됩니다. 처음에는 정상 대변을 보지만, 시간이 지나면 약 60%의 환자에서 건포도 모양의 끈끈한 점액과 피가 섞인 변이 관찰됩니다. 오른쪽 하복부에서 소시지 모양의 종괴가 만져지기도 합니다.
", 장중첩증  Intussusception ,"소아소화기영양과, 염증성장질환 클리닉","소아질환 ,혈변 ,심한구토 ,복통 ,장폐색"
박장훈,복부,"담낭 용종은 대부분 증상이 없습니다. 다만 간헐적 우측 상복부 복통이 나타날 수도 있습니다. 담낭은 해부학적으로 기저부, 체부, 깔때기, 경부의 네 부분으로 나뉘는데, 깔때기의 밑면에 돌출된 부분을 하트만 주머니라고 부릅니다. 하트만 주머니에 용종이 돌출될 경우 담낭관 폐쇄가 일어나 담즙이 분비될 때 통증이 나타날 수 있습니다.  ", 담낭용종  Gallbladder polyp ,"소화기내과, 간담췌외과, 소아외과","담낭  ,용종  ,우상복부 통증  ,명치 통증  ,옆구리 통증  ,오심  ,구토  ,소화불량  ,비만 ,담낭폴립  ,쓸개용종  ,쓸개폴립  ,콜레스테롤  ,담낭암  ,담관암  ,담석증"
박장훈,복부,"  가장 전형적으로 나타나는 증상은 속쓰림입니다. 이외에도 흉통, 연하곤란, 만성기침, 쉰 목소리, 천식 발작, 목의 이물감 등이 나타날 수 있습니다. 합병증으로는 위식도 접합부에서 식도의 상피 세포가 위의 상피 세포처럼 변하는 화생(metaplasia) 현상이 발생하는 바렛 식도가 나타날 수 있습니다. 이외에도 만성 식도염, 식도 협착, 궤양 등이 발생할 수 있습니다.", 위식도 역류질환   Gastro-esophageal reflux disease(GERD) ,소화기내과,"가슴쓰림  ,역류  ,신맛  ,쉰 목소리  ,기침  ,목 이물감 ,역류성식도염  ,바렛식도  ,위염  ,식도암  ,탈장"
박장훈,복부,"담도암의 증상은 종양의 발생 위치와 침범 정도에 따라 다릅니다. 초기 단계일 때는 별 증상이 없으나, 종양으로 인해 담도가 막히면 통증이 없는 황달과 황달뇨(진한 갈색의 소변)가 가장 흔하게 나타납니다. 그 밖에 피부 가려움증, 복통과 체중 감소, 발열, 회색변, 소화 장애 등의 증상이 나타날 수 있습니다. 상복부 통증은 담석의 산통과는 성질이 다르며, 심한 통증이 있는 경우에는 이미 병이 진행한 것을 의미합니다.",담도암(담관암) Bile duct cancer,"췌장담도암센터, 간담췌외과, 방사선종양학과, 혈액종양내과, 소화기내과","황달,  피로감  ,회색변  ,소화불량  ,가려움  ,짙은색 소변  ,CA 19-9 ,간내담관의 악성 신생물  ,간외담관의 악성 신생물  ,담도암  ,쓸개관암  ,담관상피암  ,담관암종"
박장훈,복부,"복수의 가장 명확한 증상은 배가 부풀어 오르는 것입니다. 환자의 배가 점점 불러오고, 이로 인한 불편감을 호소합니다. 옷의 허리 치수가 증가하기도 하고, 복수가 횡격막 및 호흡근을 압박해 수면 시 호흡곤란을 유발할 수 있습니다. 또한 배꼽 주위 또는 서혜부 탈장이 동반될 수 있습니다. 다만 복강 내 감염이 동반되지 않으면 복수 그 자체로 인한 통증은 흔하지 않습니다.",복수 Ascites,"소화기내과, 소화기병센터, 간센터, 간암센터","복수 ,간경변 ,복강 ,복막 ,복막암 ,배에_물참 ,간  ,소화기 내과  ,소화  ,배  ,복부"
박장훈,복부,"혈변과 함께 나타날 수 있는 증상은 원인 질환에 따라 다르며 오심, 복부팽만, 설사, 경련, 갈증, 저혈압, 빈맥, 실신 등이 나타날 수 있습니다. 손실된 혈액량이 전체 혈액량의 40% 이상이면 저혈량성 쇼크로 인해 얼굴이 창백해지고 몸이 차가워지며 피부가 축축해질 수 있습니다.", 혈변 Hematochezia ,"위장관외과, 대장항문외과, 염증성 장질환센터","혈변 ,선홍색 ,수혈 ,내시경 ,개복 수술"
박장훈,복부,"배변의 빈도가 감소하며, 배변 횟수가 정상이더라도 대변이 과도하게 딱딱하다고 느껴지거나 배변 시에 과도한 힘이 필요하다면 변비일 수 있습니다. 배변 후에도 변이 남은 느낌, 배가 부푼 느낌, 복부 통증도 변비의 증상 중 하나입니다. 변비로 인해 이차적으로 항문에 치핵, 치열 등이 발생하면 배변 시 항문 통증이나 출혈의 원인이 됩니다. 변비가 만성화되면 식욕이 떨어지고 소화불량이 나타나기도 하며, 우울증의 원인이 되기도 합니다.  ",변비 Constipation,"소화기내과, 소아청소년과, 가정의학과","변비  ,만성변비  ,소화기내과  ,소아청소년과  ,가정의학과"
박장훈,복부," 주로 65세 이상의 고령 여성에게서 나타납니다. 변실금은 절박성 변실금과 수동적 변실금으로 구분할 수 있습니다. 절박성 변실금은 신경은 정상이지만 의지로 조절이 가능한 근육인 외항문괄약근이 손상된 것입니다. 따라서 환자는 변이 나오는 것을 인지하지만 변을 참지 못합니다. 수동적 변실금은 신경이 손상되었거나 의지로 조절이 불가능한 근육인 내항문괄약근이 손상된 것으로 환자는 변이 나오는 것을 인지하지 못합니다. 

",변실금 Fecal Incontinence,항문외과,"실금  ,대변  ,실수  ,치열  ,수술  ,치핵  ,변이샘  ,변비  ,설사  ,항문 ,항문외과  ,항문질환  ,노령,  노인  ,고령  ,화장실"
박장훈,복부,지방간은 가끔 간이 위치한 오른쪽 상복부가 뻐근하거나 피로감이 심해지는 증상을 보이지만 대부분 아무런 증상이 없습니다. 그래서 우연히 해본 검사에서 간 기능이 나빠진 것을 알게 될 때가 많습니다.,지방간 Fatty liver,"내분비내과, 간센터, 소화기내과","간수치 상승  ,메스꺼움  ,무기력함  ,피로감  ,복부 불편감 ,알코올  ,비만  ,비알콜성 지방간  ,간염 ,복부비만 ,체중감량 ,금주 ,간경병증 ,간섬유화스캔"
박장훈,복부,"췌장암은 초기 증상이 특별히 없어 조기 진단이 늦어지는 암이에요. 대표적인 증상은 복부 통증이 있어요. 통증은 복부에만 국한되지 않고 등 쪽으로 퍼져 나가기도 해요. 위장약을 먹어도 이 통증은 나아지지 않아요. 식욕이 저하되거나 속이 울렁거리는 오심, 구토 같은 증상도 있어요. 췌장암이 점점 진행되면 지방을 소화하기 어려워지면서 변에 지방이 섞여 나오는 지방변이 보이기도 하고, 담관이 막혀서 담즙이 흐르지 못해서 황달이 생기거나 변의 색이 옅어지기도 해요. 갑작스럽게 당뇨병을 진단받는 일도 있어요. 하지만 이런 증상들은 췌장암이 어느 정도 진행되기 전까지는 드러나지 않기도 해요. ",췌장암 Pancreatic cancer,"췌장담도암센터, 간담췌외과, 방사선종양학과, 혈액종양내과","복통  ,황달  ,체중감소  ,소화불량  ,지방변  ,CA19-9 ,췌장의 악성 신생물  ,췌장암종  ,이자암  ,췌장염  ,비만"
박장훈,복부,"유전성 암은 멘델의 유전 법칙에 따라 유전되고 나타납니다. 상염색체 우성으로 나타나는 경우가 대부분이고, 부모 중 한 명이 암 유전자를 가지고 있으면 자녀에게 절반가량의 확률로 암이 발생합니다. 그러므로 부모 중 1명, 자녀 1세대에서 절반가량, 암에 걸린 자녀의 자손 중 절반가량에서 암이 나타난다면 유전성 암을 의심해 볼 수 있습니다. 반면 드물게 나타나는 상염색체 열성의 암 유전자는 부모 모두가 암 유전자를 가지고 있는 경우 자녀 4명 중 1명꼴로 암이 나타나며, 다른 자녀들은 암 유전자를 절반씩만 받으므로 암이 나타나지는 않습니다. 임상적으로 유전성 대장암이 의심되는 경우에는 유전자 검사를 시행해 정확히 진단해야 하고, 유전 상담을 통해 환자 개인뿐 아니라 가족 구성원에 대한 동시적 접근이 필요합니다. 유전성 대장암에 이환된 환자와 가족 구성원은 정기검진을 꾸준히 시행해 관련 암의 발생을 조기에 진단하고 치료해야 합니다. 더불어 유전자 문제로 발생하는 암이라고 해도 식이, 운동, 비만, 흡연, 음주 등과 같은 환경적 요인에 의해 암 발생 여부 및 진행 정도가 달라지므로 생활습관 관리가 더욱 중요합니다.
유전성 대장암은 다음과 같이 크게 유전성 폴립증 증후군과 유전성 비폴립증 대장암으로 나눌 수 있습니다.

유전성 암과 의미가 명확히 구분되지 않고 혼용되어 사용되기도 하는데, 가족이나 친척에서 같은 종류의 암이 상대적으로 높은 빈도로 발생하는 경우에 가족성 암이라 불립니다. 가족성 암은 어린 나이에 발생하는 경우가 많으며, 원인이 명확히 밝혀져 있진 않지만 유전자 돌연변이와 같은 유전적인 요인, 그리고 비슷한 환경이나 생활 방식을 공유하는 환경적인 요인이 모두 영향을 미쳤을 것으로 생각됩니다.
가족성 대장암에 대해 알아보면, 가족 중에 대장암 환자가 있으면 대장암 가족력이 없는 경우보다 대장암 발생 위험이 높습니다. 부모님을 비롯해 형제, 자매, 자녀 등 직계가족 가운데 대장암 병력이 있는 사람이 한 명이 있으면 대장암 발생 위험이 약 1.5배 증가하고, 2명 이상 있으면 약 2.5배 증가합니다. 조부모나 삼촌, 백부, 고모, 외삼촌, 이모, 조카, 손자, 조부모의 형제자매와 같은 친척 중에 대장암 환자가 있으면 본인의 대장암 발생 위험은 약 1.3배 증가하는 것으로 보고되고 있습니다.
그래서 직계가족 중에 대장암을 진단받은 사람의 나이가 60세 미만인 경우, 또는 환자의 진단 나이와 상관없이 직계가족 중 대장암 병력을 가진 사람이 2명 이상 있는 경우에는 40세부터 대장내시경검사를 시작하거나 진단받은 환자의 나이보다 10년 정도 일찍 대장내시경검사를 시행하는 것이 좋습니다.",가족성(유전성) 대장암 Familial colorectal cancer,"암예방센터, 암병원","가족력,  유전성 비용종성 대장암 증후군  ,린치 증후군  ,APC  ,MLH1  ,MSH2  ,MSH6  ,PMS2  ,EPCAM  ,PTEN  ,STK11 ,유전성폴립증증후군 ,유전성비폴립증대장암 ,대장내시경 ,가족성 선종성 폴립증  ,가족성 샘종성 폴립증  ,가족성 샘종성 용종증  ,가족성 선종성 용종증  ,가족성 용종증  ,포이츠-제거스 증후군  ,포이츠-예거 증후군 ,암 고위험군 ,암 생존자 ,암 경험자 ,연세암병원 ,암예방센터"
박장훈,복부,"헬리코박터 파일로리균에 감염되어도 대부분 사람은 증상이 없어요. 하지만 일부에서는 위 점막에 염증이 생겨서 위 건강이 안 좋아져요. 식후나 한밤중, 우연히 윗배가 불편한 것을 느껴요. 시간이 흐르면 위점막이 패인 위궤양으로 진행해요. 체중이 점점 줄어요. 메스껍고 구토를 하기도 하죠.

위궤양이 심해지면 위에 손상이 생겨요. 궤양이 깊어져 출혈이 생겨 구토에 피가 섞여 나오거나 검은색 변을 보기도 해요. 심하면 위에 구멍이 나서 복막염이 생기는 사람도 있어요. 위점막이 오랫동안 지속해서 손상을 입으면 위암으로 진행하기도 해요. ", 헬리코박터 파이로리균 감염  Helicobacter pylori infection ,소화기내과,"복부 불편감 , 체중 감소  ,메스꺼움  ,구토 ,헬리코박터  ,헬리코박터 파이로리  ,위궤양  ,위암"
박장훈,복부,"급성 췌장염의 대표적인 증상은 명치와 배꼽 주변의 심한 통증이에요. 통증은 등 뒤로 퍼져 나가기도 해요. 바로 누우면 증상이 심해지지만 몸을 구부리면 복통이 조금 나아져요. 미열이 나기도 해요. 급성 췌장염으로 쇼크가 생기면 혈압이 떨어지거나 심장이 빠르게 뛰는 빈맥도 나타나요. 췌장 주변에 액체가 고이면서 가성낭종이 생기기도 해요. 괴사성 췌장염은 췌장과 주변 조직에서 괴사가 생기는데, 사망에 이를 위험도 있어서 주의해야 해요. ", 급성 췌장염  Acute pancreatitis ,소화기내과,"명치 통증  ,배꼽 통증  ,구역  ,구토  ,쇼크  ,가성 낭종 ,괴사성 췌장염  ,만성 췌장염  ,담석증  ,췌장암"
박장훈,복부,"발열, 메스꺼움, 구토, 식욕부진, 전신 피로, 복부 불쾌감 등 다른 급성 간염과 비슷함
심해지면 설사를 동반하거나 대변 색이 옅어지고, 오줌 색이 짙어지면서 본격적으로 황달이 나타나기 시작함
초기 증상은 몸살 감기와 비슷해서 스스로 감기약을 복용하며 버티다가 진단 시기를 놓치는 경우도 흔함
몸 안에 들어온 후 바로 증상을 유발하는 것이 아니라 약 1개월 후, 짧게는 2주에서 길게는 8주 후에야 본격적인 증상이 나타남",A형 간염 Hepatitis A,"간센터, 소화기내과","피로  ,메스꺼움  ,구토  ,발열  ,식욕부진  ,복통  ,황달 ,B형간염  ,C형간염  ,급성 간염 ,간염바이러스 ,황달 ,분변경구감염"
박장훈,복부,로타바이러스 장염은 바이러스에 감염된 후 2일 이내 증상이 시작돼요. 처음에는 39도 이상의 발열과 구토가 시작되다가 3~7일 이내에는 쌀뜨물처럼 묽은 설사를 하기 시작해요. 물 같은 설사를 하는 콜레라의 증상과 비슷하다고 해서 ‘가성 콜레라’로 불리기도 해요. 변의 색깔은 엷은 노란빛이나 녹색을 보여요. , 로타바이러스장염  Rotavirus enteritis ,"소화기내과, 감염내과, 소아청소년과, 소아소화기영양과","설사  ,물설사  ,어린이 설사  ,구토  ,발열  ,겨울 식중독  ,어린이 장염 ,노로바이러스장염  ,콜레라  ,탈수"
박장훈,복부,"담낭염은 급성 담낭염과 만성 담낭염으로 나눌 수 있어요. 급성 담낭염은 갑자기 시작되는 심한 상복부 통증이 특징이에요. 통증은 우측 상복부에서 시작해서 오른쪽 등, 날개뼈 쪽으로 퍼져나가는데, 이 통증을 담도산통이라고 불러요. 통증과 함께 구역질, 구토, 메스꺼운 느낌, 발열이 나타나기도 해요. 드물게는 피부와 눈이 노랗게 변하는 황달이 나타날 수도 있어요. 급성 담낭염의 증상은 주로 식사 후, 특히 과식하거나 지방이 많은 식사를 했을 때 더 심하게 나타날 수 있어요.

만성 담낭염은 담낭에 장기간 지속된 염증을 말해요. 주로 담석 때문에 담낭이 반복적으로 자극을 받으면서 담낭에 염증이 생기고 담낭 벽이 두꺼워져요. 보통은 급성 담낭염처럼 심한 통증이나 발열은 없지만, 갑자기 급성 담낭염으로 진행하면서 통증이 나타나기도 해요. ", 담낭염 Cholecystitis ,"소화기내과, 간담췌외과","우상복부 통증  ,명치 통증  ,오른쪽 어깨 통증  ,담도산통  ,오심  ,구토  ,소화불량  ,발열  ,메스꺼움 ,쓸개염, 담석증  ,담낭암  ,담관암  ,급성 췌장염  ,ERCP  ,내시경적 역행성 췌담관조영술  ,결석"
박장훈,복부,"노로바이러스는 바이러스에 노출된 지 12~48시간 이내에 증상이 시작돼요. 갑자기 시작되는 구토, 설사가 주된 증상이에요. 배가 아프면서 몸살이 난 것처럼 근육통이 있는 때도 있고 열이 나는 사람도 있어요. 하지만 대부분 사람은 수분을 충분히 섭취하고 휴식을 취하면 2~3일 후에는 저절로 나아질 거예요. 

하지만 어린이, 노인, 면역이 저하된 사람은 이런 구토와 설사가 심한 탈수 증상을 일으킬 수 있어서 주의가 필요해요. 기운이 심하게 떨어지거나 입이 마르거나 소변량이 줄어든다면 병원에 방문하여 적절한 치료를 받는 것이 좋아요. ", 노로바이러스장염  Norovirus gastroenteritis ,"소화기내과, 감염내과, 소아청소년","구토  ,설사  ,물설사  ,몸살  ,탈수  ,겨울 식중독  ,수인성질환 ,로타바이러스장염  ,식중독"
박장훈,복부,"우리나라에서 간경변의 가장 큰 원인은 B형간염이에요. 그 밖에도 C형간염이나 알코올성 간질환, 지방간이 원인이 될 수 있어요. 드물게는 자가면역질환이나 유전질환도 간경변의 원인이 되기도 해요.", 간경변  Liver cirrhosis ,"장기이식센터, 간센터, 소화기내과, 이식중환자외상외과, 이식혈관중환자외과","피로,  체중감소  ,복부 불편감  ,소화불량  ,거미혈관종  ,식도정맥류 ,간염  ,알코올성 간질환  ,복수  ,간성뇌증  ,간암  ,B형간염  ,C형간염"
박장훈,복부,"운동하거나 오랫동안 서 있을 때 아랫배 한쪽이 볼록해지다가 누우면 사라지는 경우, 재채기나 기침을 할 때 서혜부에 덩어리가 만져지는 경우, 튀어나온 덩이를 만졌더니 꼬르륵하면서 없어지는 경우, 가끔 사타구니 쪽에서 잡아끄는 듯한 불쾌감이 느껴지는 경우에는 반드시 서혜부 탈장을 염두에 두고 탈장수술 경험이 많은 외과 전문의의 도움을 받아야 합니다. 빠르게 진단받고 정확하게 치료받으면 후유증 없이 완치될 수 있지만, 증상을 방치하다 장이 구멍에 껴서 조여지는 감돈이나 교액 같은 합병증까지 이르면 위험할 수 있습니다.",서혜부 탈장 Inguinal hernia,소아외과,"배꼽 튀어나옴  ,사타구니 튀어나옴  ,감돈  ,복통  ,장 괴사 ,사타구니 탈장  ,탈장 ,간접탈장 ,직접탈장 ,서혜부탈장 ,샅굴탈장 ,배꼽탈장"
박장훈,복부,"유전성 비폴립성 대장암(Hereditary Non-Polyposis Colorectal Cancer, HNPCC) 또는 린치 증후군(Lynch Syndrome)은 대장암 및 관련암(자궁내막암, 난소암, 소장암, 위암, 췌장암, 담도암, 요관암, 교모세포종, 피지선종, 각질가시세포종)이 한 가족 내에서 발생하는 질환군입니다. 이 중 가장 누적 위험도가 높은 것은 대장암(70-90%)과 자궁내막암(40-70%)입니다. 가족성 선종성 폴립증(familial adenomatous polyposis)과 달리 대장의 선종성 폴립증을 동반하지 않습니다.
아직 생식세포 유전자 변이를 교정해 암 발생을 예방하는 방법은 알려지지 않았습니다. 이미 대장암, 자궁내막암 등 관련 암을 진단받은 보인자에서는 병기와 치료 단계, 환자 상태, 종양의 불일치 복구 관련 단백질 미발현 또는 현미부수체 불안정성 상태, PD-L1 발현도, 종양 돌연변이 부하, 종양 항원 등을 고려해 면역관문억제제(immune checkpoint inhibitor) 등의 치료를 시도하기도 합니다.
린치 증후군의 대장 폴립은 악성화의 기간이 짧은 것으로 알려져 있습니다. 따라서 암을 진단받지 않은 보인자에서 20-25세부터 1-2년마다(MLH1, MSH2/EPCAM 변이 보인자의 경우), 30-35세부터 1-3년마다(MSH6, PMS2 변이 보인자의 경우) 대장내시경 검사를 권고하며, 여성의 경우 자궁내막암과 난소암의 정밀검진 및 예방적 수술을 고려할 수 있습니다. 위암, 소장암, 췌장암 검진도 고려해야 하며, 비뇨기암, 담도암, 뇌종양의 위험성 역시 일반 인구에 비해 높은 것으로 알려져 있습니다.",유전성 비폴립성 대장암(린치 증후군) Hereditary non-polyposis colorectal cancer(Lynch syndrome),"대장암센터, 부인암센터,암예방센터","MLH1  ,MSH2  ,MSH6  ,PMS2  ,EPCAM ,대장암  ,소장암  ,자궁내막암  ,유전성 암  ,가족성 암 ,암 고위험군 ,암 생존자 ,암 경험자 ,연세암병원 ,암예방센터"
