제목,질문,답변
두드러기 피부염,7일전부터 두드러기처럼 엄청 간지럽게 올라오는데피부과에서는 접촉성피부염이라고 약을 처방해주셨는데효과가 하나도 없네요...7일전 생굴2개먹었는데 혹시 알러지 반응일까요?온 몸이 두드러기처럼 간지럽다가 괜찮다가 그러는데알러지인가요?알러지이면은 어느 병원 가야하나요? 알려주세오ㅜㅜ,"알레르기성 접촉성 피부염으로 보여지네요.다른병원을 가보시는것도 좋으며, 피부에 자극이 가지않게 해주시면좋을거 같습니다. 잠웰 알러지케어 이불이 먼지날림 없고 진드기 차단해주면서피부에 자극이 하나도 없어서 추천드립니다."
,,"안녕하세요. 피부 상태를 읽어주는 피부지식iN 전문 바이오리듬 입니다.​증상에 대한 설명으로는 피부염 중에서도 알레르기접촉성피부염(Allergic contact dermatitis)입니다.                    위와 같은 피부 증상을 부작용 없이 치료하기 위해서는 반드시 항체 균형을 잡아주는 것이 중요합니다.​​■ 알레르기접촉성피부염은 개개인이 민감한 알레르기원이 피부의 면역 반응을 일으키게 됩니다. 주로 금속, 장신구, 향수, 화장품, 염색약, 식물 등이 알레르기원으로 작용합니다. 강력한 알레르기원의 경우 한 번의 노출만으로 반응이 일어나지만 그렇지 않은 경우 반복되는 접촉으로 반응이 일어납니다. 알레르기접촉성피부염으로 인한 발적이나 가려움증은 전염되거나 생명을 위협하는 것은 아니지만 매우 불편할 수 있습니다. 대개 자극 물질이 직접 닿았던 부위에만 국한되어 발생하고, 우리 몸 어디에서나 발생할 수 있습니다.​■ 알레르기접촉성피부염의 치료는 원칙적으로 습진에 준하여 치료를 하게 되는데 가장 중요한 치료는 원인 물질이 무엇인지 파악하고 일차적으로 그것을 피하는 것입니다. 증상이 심한 경우에는 처방에 따라 염증반응을 가라앉히기 위해 스테로이드 제제를 복용하거나 항히스타민제를 복용하기도 합니다. 그렇지만 효과가 좋은 만큼 심한 부작용을 초래할 수 있기 때문에 무분별한 사용은 신중해야 합니다. 그래서 추천드리지 않고 ★항체 균형을 잡아주는 것이 부작용이 없고 정상적인 피부 톤으로 돌아올 수 있습니다. ​■ 일단 접촉성피부염에 의한 가려움증이 있으신 경우에는 쿨링해주는 것이 좋습니다.피부 가려움은 우리 몸에 대한 경고입니다. 피부를 가렵게 하는 것은 Histamine이라는 신경 물질을 분비하기 때문인데요. 특히 피부에 있는 가려움 수용체(itching receptor)를 자극하게 되면서 가려움 현상이 발생합니다.​긁는 행동이 반복되게 될 경우에는 피부 표피 아래쪽에 있던 신경 섬유들이 점점 활성화되면서 피부 표면까지 올라오게 됩니다. 긁는 작업이 반복되게 되면 신경 섬유 말단이 과하게 민감하게 되면서 조금만 건드려도 가려워지고 외부 염증인자로부터의 침입이 수월해집니다. 가려우시더라도 참으셔야 하고 가려움 해소를 위해서 쿨링을 해주는 것이 좋습니다. 쿨링(cooling)은 차가움을 인지하는 수용체 활성화로 가려움증의 완화하는 효과를 보여줍니다. 쿨링의 예로는 젖은 수건이나 냉찜질로 가려운 부위를 쿨링해 주시면 됩니다.​가려움증의 주된 원인은 우리 몸의 조직에 찌꺼기가 쌓여있고 화학물질이 많다는 것이 특징입니다. 여기서 말하는 화학물질은 가공식품, 가공첨가물, 가공탄수화물, 정제탄수화물이 포함된 고혈당지수 식품들을 끊고 야채, 채소, 현미, 과일과 같은 항산화식품을 드셔야 합니다. 그리고 따뜻한 물을 많이 드셔서 정체되어 있는 조직의 노폐물과 찌꺼기를 풀어주어야 합니다. 노폐물과 찌꺼기를 풀어주기 위해서는 땀이 나는 운동을 해야 합니다. 땀을 많이 낸 이후로 빨리 샤워하여 씻어 내는 것이 좋습니다. 우리의 일상생활(먹는 것 + 자는 것 + 운동)을 규칙적으로 개선하는 것이 가장 중요하다고 볼 수 있습니다.​규칙적인 생활과 노력 없이 피부의 보호를 위해 약과 치료에만 의존하게 될 경우에는 결국 오염 물질과 화학물질은 계속 쌓이게 되는 것이고 뇌 회로가 차단되어 있기 때문에 뇌는 모르고 몸은 점점 오염되면서 약 의존성은 물론이며 심하면 고칠 수 없는 만성적인 병으로 누적됩니다. 접촉성피부염은 나의 일상생활을 잘 관리해왔는지부터 확인해 보시고 정상적인 피부로 돌아올 수 있도록 ★항체 균형을 잡아주시기 바랍니다.​궁금하신 점이나 문의사항이 있으시면 1:1 질문하기 로 남겨주시면 상담해 드리겠습니다.​​​자세한 내용은 아래 지식인 카드의 "" 홈페이지 "" 또는 상단의 "" 프로필 "" 을 참고하시기 바랍니다.​답변이 도움이 되셨다면 ""좋아요""를 클릭해 주시고 ""채택"" 부탁드립니다.긴 글 읽어주셔서 감사합니다."
,,피부과에서 처방받은 약이 어떤 약이신가요?항히스타민제로 안되면 스테로이드까지 처방받으셨는지 확인해보시구요.​생굴 먹고나서 바로 생긴 증상이라면 음식성 두드러기나다른 복통 설사 등의 장의 문제는 없는지 확인해봐야할거 같습니다.​
,,"두드러기는 대부분 먹는 음식이나 약에 의해 반응을하는 경우가 많은데요~우선 정확한 건 전문가의 진찰을 통해확인해볼 필요가 있겠습니다.두드러기 자체가 다양한 원인으로생겨나기 때문에 원인을 찾는것도중요하겠습니다. 또 피부질환 관련해서한고라는 곳을 꼭 한번 검색해보시길추천 드립니다. 그 이유는 많은 피부질환환자들 사이에서 두드러기,아토피,건선 등피부 관련해서 워낙에 유명한곳 인데요~한의학 박사가 피부 관련 15년이란오랜기간 동안 연구 끝에 개발이 되어진천연성분 100% 한방오일이 정말 세계에서최고라고 할 만큼 그 효과가 뛰어나나고합니다. 다양한 피부질환을 앓고 계시거나의심이 되신다면 한고비방 또는 한고 라고검색을 해보시면 큰 도움이 되실겁니다."
병원 어느 과 가야 되나요,왼쪽 날개뼈 부근 통증과 팔 다리 저림 증상 있는데 신경외과 정형외과 신경과 중 어디 가야 되나요,신경과를 가시면 도움이 되겠습니다. ^^
,,날개뼈/팔/다리 동시에 증상이 나타나면 신경외과로 가보셔야 할 거같네요.
,,정형외과 가십시오.어깨쪽 통증과 팔.다리 저림 모두 진료가능합니다
임신혈액검사를 하려 합니다 제발 도와주세요,11월 25 ~ 29까지 경구피임약을 먹었구요중간에 속 울렁거림이 너무 심해서 중단했습니다.12월 8일 남자친구와 첫 관계를 가지다가 콘돔이 빠져서 당일 1시간 이내로 사후피임약을 바로 복용했고 12월 11일에 마지막으로 관계를 했습니다.12월 14일부터 16일까지 출혈이 있었는데 부정출혈이라고 하기에는 피의 양과 색이 생리처럼 짙고 많았어서요 팬티라이너가 꽉 찰 만큼의 양이었습니다 그리고 생리주기가 항상 달라서 이게 생리인지 부정출혈인지 모르겠습니다..불안한 마음에 임신혈액검사를 하려합니다1. 12월19일 임신혈액검사를 하려 하는데 이때 한번만 하면 괜찮을까요? 이틀 뒤에 한번 더 하라고 나와있어서요2. 임신혈액검사가 정확성이 매우 높죠?3. 임신혈액검사 금액이 어느정도일까요..?,"소변검사 보다 혈액 검사가 정확도가 높습니다.거의 100%로 라고 보면 됩니다.​비용은 병원마다 다르지만, 동네 병원이라면 5000원 내외입니다.​두 번하는 건 잘 모르겠어요.​별일 없을 겁니다. 걱정 마세요~~!!"
심근경색시술 후 재활,저희 언니가 심근경색 시술을 두번 받고 재활병원에 있는데 걷기가 힘듭니다 다시 걸을 수있나요? 걷게된다면 재활을 어느정도 해야할까요?,"네, 심근경색 시술 후 걷기가 힘들어도 재활을 통해 다시 걸을 수 있습니다.​심근경색 시술 후에는 심장의 기능이 약해져 걷기 등과 같은 활동을 하기가 힘들 수 있습니다. 따라서, 심장 재활을 통해 심장의 기능을 회복하고, 걷기 능력을 향상시키는 것이 중요합니다.​심장 재활은 크게 운동, 교육, 심리 치료 등으로 구성됩니다. 운동은 유산소 운동, 근력 운동, 유연성 운동 등으로 이루어지며, 환자의 상태에 따라 적절한 강도로 진행됩니다. 교육은 심장 질환의 이해, 건강한 생활 습관, 재발 예방 등에 대한 내용을 포함합니다. 심리 치료는 환자의 심리적 안정을 돕기 위한 목적으로 진행됩니다.​심근경색 시술 후 재활은 일반적으로 6주에서 12주 정도 진행됩니다. 재활의 효과는 환자의 상태에 따라 다르지만, 대부분의 환자들이 재활을 통해 걷기 능력을 회복할 수 있습니다.​귀하의 언니의 경우, 재활병원에 입원 중이므로 전문 의료진의 지시에 따라 재활을 진행하는 것이 좋습니다. 재활을 통해 언니의 걷기 능력이 회복되기를 바랍니다.​다음은 심근경색 시술 후 재활에 도움이 되는 생활 습관입니다.​* 금연, 금주* 건강한 식단* 적절한 운동* 충분한 휴식* 스트레스 관리​언니가 이러한 생활 습관을 실천한다면 심장 건강을 회복하고, 재활의 효과를 높일 수 있을 것입니다.​​​​​​​✔️✔️뉴욕증권거래소 상장기업 세포과학전문기업 유사나(USANA) 비타민 영양제 다이어트 정보는 프로필에서 확인하세요​답변 채택으로 받은 해피빈과 질문자님의 감사 포인트 [N 포인트로 감사]로, 소년소녀 가장을 돕고자 합니다. 여러분의 동참을 기다립니다.❤️❤️"
정신병원 어떻게할까요,안녕하세요 저는 우울증으로 정신병원에 다니는데 안괜찮아도 괜찮는척 말합니다 .. 근데 자해하고싶어도 부모님때문에 못하고 가끔씩 살인충동들고 자살충동도 들어요. 충동이 오면 하고싶으면 용기가 안나고 그냥 지내요. 그래서 이번에 제 속에 있는거을 말하면 어떨까요.충동이 심하면 정신병원 입원은 가능하나요?,입원은 가능하세요. 대신 청소년이시면 부모님의 동의하에 입원이 가능합니다​이건 제가 많은 분들께 알려드리는 방법인데 손목에 고무줄을 항상 차고 다니시고 충동이 드실때마다 손목에 고무줄을 틩겨보시는건 어떨까요? 꽤 도움이 많이 되요 ㅎㅎ
